gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
AT1G01290	CNX3	15.982462	13.949543	12.29993	21.051136	16.629662	17.504144
AT1G01300	AT1G01300	31.49265	31.758654	27.053501	63.761823	60.157857	41.843735
AT1G01305	AT1G01305	0.631795	0	0	0	0	0
AT1G01310	AT1G01310	0.326034	0.479123	0.530291	0.100381	0.62492	0.628586
AT1G01320	AT1G01320	5.126967	3.943649	5.113834	5.679487	6.106218	4.879544
AT1G01340	CNGC10	12.655976	13.729344	17.414146	11.583732	12.350159	13.960001
AT1G01350	AT1G01350	18.622232	23.323059	22.466678	27.702971	25.144172	24.621248
AT1G01355	AT1G01355	1.137024	2.853638	1.171082	0.589612	0.429668	0
AT1G01360	PYL9	31.516467	57.713865	36.615672	31.70628	32.240293	40.576573
AT1G01370	HTR12	7.658284	3.726483	11.655632	11.139241	10.709386	13.121815
AT1G01380	ETC1	8.436921	13.124826	3.36548	15.091783	8.585477	8.636641
AT1G01390	UGT72B2	0	0	0	0	0	0
AT1G01400	AT1G01400	0	0	0	0	0	0
AT1G01410	APUM22	0	0	0	0	0	0
AT1G01420	UGT72B3	1.041391	0.623224	0.841649	2.312156	2.223371	3.399644
AT1G01430	TBL25	26.193403	21.495407	19.024185	19.699813	24.81111	20.523154
AT1G01440	AT1G01440	13.434845	11.859505	10.866005	8.342981	9.945446	8.909291
AT1G01448	AT1G01448	7.320526	5.106837	7.027576	4.170384	6.805947	3.112753
AT1G01450	AT1G01450	2.085812	2.739396	2.840018	1.21702	0.878723	2.135785
AT1G01453	AT1G01453	2.34239	0.757971	0.845523	1.478038	1.765085	2.371351
AT1G01460	PIP5K10	0.211119	0	0	0	0.066502	0
AT1G01470	LEA14	68.51012	78.86101	77.97559	112.384844	145.75104	116.028043
AT1G01471	AT1G01471	0	0	0	0	0	0
AT1G01480	ACS2	3.096435	2.073481	2.767276	3.104846	3.840267	2.973656
AT1G01490	AT1G01490	68.592435	72.287393	64.204069	107.730075	64.796421	106.218408
AT1G01500	AT1G01500	8.246732	6.741162	5.831153	10.646704	8.712688	9.438509
AT1G01510	AN	34.188313	38.508308	33.511766	34.430429	30.286548	28.435148
AT1G01520	RVE3	0	0.502623	0.132528	0.178774	0	0.80998
AT1G01530	AGL28	0	0	0	0	0	0
AT1G01540	AT1G01540	24.060015	26.775388	29.589039	26.202953	23.207953	28.133824
AT1G01550	BPS1	180.900171	174.923038	195.687781	178.573835	184.991325	186.676631
AT1G01560	MPK11	0.322526	1.941097	0.755796	3.143202	2.2196	3.078242
AT1G01570	AT1G01570	1.939571	1.882401	4.369057	4.156119	3.524437	3.438174
AT1G01580	FRO2	3.102418	2.290996	15.734169	176.926452	26.591227	78.916172
AT1G01590	FRO1	0	0.162568	0	0.019385	0.085582	0
AT1G01600	CYP86A4	2.190938	3.612755	1.913516	3.90189	3.865537	2.780933
AT1G01610	GPAT4	42.442855	54.395511	41.64626	55.169883	58.681071	76.624042
AT1G01620	PIP1-3	1389.784004	1211.013564	1331.789678	512.900141	675.17604	641.897845
AT1G01630	AT1G01630	41.198827	35.928902	39.107972	47.897868	38.517616	47.783893
AT1G01640	AT1G01640	54.414691	46.68447	50.881276	32.030546	35.829051	27.262008
AT1G01650	SPPL4	33.372226	33.928298	35.503258	32.607282	24.987334	29.694385
AT1G01660	PUB55	3.142554	2.753463	4.231248	4.088448	3.325684	3.532277
AT1G01670	PUB56	6.996597	6.720506	8.466162	5.875107	5.417084	5.205036
AT1G01680	PUB54	0	0.086003	0.823171	0.535982	0.112145	1.000512
AT1G01690	ATPRD3	4.556134	6.014538	5.407347	6.429259	7.920967	6.012662
AT1G01695	AT1G01695	0	0	0	0.362486	0	0.226117
AT1G01700	ROPGEF2	0.630183	0.790129	0.467661	1.050826	0.683755	0.672347
AT1G01710	AT1G01710	14.959228	13.035389	12.961818	14.063142	14.302413	14.381027
AT1G01720	NAC002	66.050403	90.824254	75.244807	51.011484	56.572334	52.194358
AT1G01725	AT1G01725	34.334563	34.516343	29.4972	16.555986	25.418958	25.58959
AT1G01730	AT1G01730	52.567104	47.077559	56.433355	40.613904	45.464999	35.427308
AT1G01740	AT1G01740	1.977577	1.042822	3.676172	2.895235	2.547878	2.827183
AT1G01750	ADF10	45.652643	40.665733	53.269236	48.473001	48.27435	56.785784
AT1G01760	AT1G01760	5.092245	3.065234	4.583975	2.342294	1.205019	1.773151
AT1G01770	AT1G01770	14.910073	12.591423	15.933723	6.645565	8.524279	6.712153
AT1G01780	PLIM2B	36.945741	27.005877	35.425866	20.883126	21.031308	21.347761
AT1G01790	KEA1	6.446208	7.256368	5.99319	5.993223	6.681067	5.797002
AT1G01800	AT1G01800	107.747261	130.056427	121.000038	112.125445	97.830942	111.133012
AT1G01810	AT1G01810	2.086444	0.536268	1.16032	2.606748	1.379343	3.271928
AT1G01820	PEX11C	66.605852	53.607681	72.857851	44.841613	57.630239	46.305283
AT1G01830	AT1G01830	9.104445	6.50582	6.577306	6.998309	8.026958	7.55226
AT1G01840	AT1G01840	2.367938	2.234318	1.815967	3.778162	1.576466	2.991977
AT1G01860	PFC1	5.920734	4.880343	6.241516	5.676444	5.120955	5.279106
AT1G01870	AT1G01870	0	0	0	0	0	0
AT1G01880	GEN1	2.520021	1.75212	1.475246	1.926405	1.188637	1.099004
AT1G01890	AT1G01890	0	0	0	0	0	0
AT1G01900	SBTI1.1	1.797048	2.319945	2.246295	2.672145	3.958372	3.0414
AT1G01910	AT1G01910	50.918458	40.993725	44.822196	40.685907	37.74645	31.634022
AT1G01920	AT1G01920	9.014321	11.481403	10.347227	16.082175	12.866326	12.1201
AT1G01930	AT1G01930	12.132893	11.424512	10.723105	9.48099	10.040392	10.541332
AT1G01940	CYP18-1	42.392945	30.941822	37.537839	39.275522	32.3247	42.208242
AT1G01950	ARK2	9.598995	10.463366	9.363461	11.324702	10.175688	12.38124
AT1G01960	BIG3	24.666719	24.074791	20.327315	24.362668	22.592926	19.372065
AT1G01970	AT1G01970	5.020753	7.346214	5.401911	5.24319	6.604632	5.56139
AT1G01980	AT1G01980	0	0	0	0.091739	0	0
AT1G01990	AT1G01990	21.334637	20.016882	15.313598	14.159035	14.608439	11.396615
AT1G02000	GAE2	8.85061	8.888635	8.39274	8.334457	8.919333	7.743084
AT1G02010	SEC1A	5.137923	5.489318	3.765045	4.543464	3.609458	4.311631
AT1G02020	AT1G02020	2.446509	2.638867	1.832536	2.897437	2.026511	2.923358
AT1G02030	ZAT1	0.257052	0.44345	0.620037	0.171443	0.504456	0.832155
AT1G02040	AT1G02040	0	0	0	0	0	0
AT1G02050	PKSA	6.493466	5.708999	4.336706	3.949415	6.627604	4.554199
AT1G02060	AT1G02060	4.7811	5.69402	5.041085	2.90738	4.09964	2.473316
AT1G02065	SPL8	0	0	0	0	0	0.084968
AT1G02070	AT1G02070	0	0	0.116105	1.042608	1.136124	0.448437
AT1G02074	AT1G02074	0	0	0	0	0	0
AT1G02080	AT1G02080	19.579003	17.685183	16.286611	17.667865	19.279747	15.250246
AT1G02090	CSN7	40.340232	43.081554	43.845439	53.592699	56.900255	55.8949
AT1G02100	AT1G02100	52.53283	58.222526	49.534231	39.644187	38.329426	35.659812
AT1G02110	AT1G02110	16.273533	15.029393	10.861006	12.043871	12.678692	9.426448
AT1G02120	VAD1	54.377603	55.846798	50.148564	36.138135	45.545788	41.872186
AT1G02130	RABD2A	57.960342	53.772981	58.640361	50.524745	49.961541	56.696613
AT1G02136	AT1G02136	0	0	0	0	0	0
AT1G02140	MEE63	188.35301	215.060123	227.210578	320.788385	245.709301	297.689221
AT1G02145	ALG12	14.159517	15.144102	12.679325	15.627474	15.445818	17.152119
AT1G02150	AT1G02150	19.780491	17.17466	14.284617	13.632324	15.229477	13.277586
AT1G02160	AT1G02160	44.89078	40.967703	55.411789	45.250121	60.729382	47.20384
AT1G02170	AMC1	38.391946	34.703019	45.393571	30.388517	36.943174	33.397857
AT1G02180	AT1G02180	2.323078	5.624265	4.561979	4.512418	4.003246	4.404779
AT1G02190	AT1G02190	0	0	0	0	0.083516	0.165582
AT1G02205	CER1	1.812762	1.75999	0.957039	2.338864	1.680156	2.145759
AT1G02210	AT1G02210	0	0	0	0	0	0
AT1G02220	NAC003	8.815413	11.374476	7.76217	14.069154	15.90172	18.90183
AT1G02228	AT1G02228	0	0	0	0	0	0
AT1G02230	NAC004	3.175514	0.762214	2.315514	2.498083	1.060265	1.79155
AT1G02250	NAC005	0	0.413925	0	0.368922	0.540955	0.686084
AT1G02260	AT1G02260	1.962944	1.343051	1.644333	3.002856	2.876118	2.211372
AT1G02270	AT1G02270	10.576643	6.80079	10.777242	11.399568	13.190025	10.317478
AT1G02280	TOC33	41.678139	53.00615	48.175212	37.407115	43.054153	46.19464
AT1G02290	AT1G02290	7.540099	7.712736	7.375983	8.044824	7.3517	6.123422
AT1G02300	AT1G02300	13.720305	7.61104	14.940317	6.901093	15.233933	7.530445
AT1G02305	AT1G02305	138.351534	169.216336	175.391558	64.600862	93.216491	82.114234
AT1G02310	MAN1	3.913323	8.575409	7.047566	6.84384	7.481156	6.031404
AT1G02320	AT1G02320	0	0	0	0	0	0
AT1G02330	AT1G02330	43.576596	40.735491	53.764098	39.612145	43.295532	45.408879
AT1G02335	GL22	30.939306	37.879488	29.107343	31.337097	43.468937	29.337483
AT1G02340	HFR1	11.097801	21.784991	12.836204	3.133692	6.43463	7.907466
AT1G02350	AT1G02350	1.441505	0	0	0.612677	0.14594	2.105871
AT1G02360	AT1G02360	65.197511	83.060103	75.595777	72.784551	87.448973	81.041776
AT1G02370	AT1G02370	5.651097	3.720397	4.26081	6.073796	4.430842	4.974207
AT1G02380	AT1G02380	3.466387	1.921856	2.719219	2.611735	3.309597	2.734012
AT1G02390	GPAT2	0.739579	0.722722	0.026138	1.597274	0.604569	1.18151
AT1G02391	AT1G02391	0	0	0	0	0	0
AT1G02400	GA2OX6	12.528469	19.964279	17.654446	22.652955	19.656634	22.713184
AT1G02405	AT1G02405	0	0	0.817615	0.199487	0.57711	0.919102
AT1G02410	COX11	22.512262	26.645134	26.542114	37.371212	29.706707	32.111892
AT1G02420	AT1G02420	2.79382	2.169515	3.620074	3.519879	2.10794	2.649727
AT1G02430	ATARFD1B	6.897398	3.430232	5.343745	6.077421	4.310427	5.600672
AT1G02440	ATARFD1A	1.431933	0	0.19112	1.485875	0.248685	0.306106
AT1G02450	NIMIN-1	0	0	0	2.027712	0	0
AT1G02460	AT1G02460	2.291687	2.343756	2.952689	4.20138	2.499129	2.63438
AT1G02470	AT1G02470	1.51605	0.204119	0.430005	0.654422	2.079073	0
AT1G02475	AT1G02475	7.660958	12.391832	9.512326	12.211655	12.168109	10.568786
AT1G02480	AT1G02480	0	0	0	0	0	0
AT1G02490	AT1G02490	0	0	0	0	0	0
AT1G02500	SAM1	643.264897	757.013089	600.820863	716.303081	583.613172	605.958918
AT1G02510	TPK4	0	0	0	0	0	0
AT1G02520	ABCB11	20.232341	27.471326	23.281109	30.677785	17.753301	28.891529
AT1G02530	ABCB12	0.168241	0.064447	0.149862	0.519569	0.184338	0.147565
AT1G02540	AT1G02540	0	0	0	0	0	0
AT1G02550	AT1G02550	0	0	0	0	0	0
AT1G02560	CLPP5	43.552279	37.076778	43.314029	47.401589	45.740254	39.929167
AT1G02570	AT1G02570	3.368442	3.005741	2.664117	1.643542	1.671585	2.394518
AT1G02575	AT1G02575	3.072463	5.453449	6.147849	1.692374	5.035854	4.14277
AT1G02580	MEA	0.336236	0	0.394045	0.053112	0.221517	0
AT1G02590	AT1G02590	0	0	0	0	0	0
AT1G02600	AT1G02600	0	0	0	0	0	0
AT1G02610	AT1G02610	20.612665	19.172488	28.495387	2.445339	5.915374	6.365241
AT1G02620	AT1G02620	1.179136	1.569501	0.655806	0	0	0
AT1G02630	ETN8	0.091789	0.394266	0.341143	0	0	0.267495
AT1G02640	BXL2	111.161469	129.459573	126.974509	21.249448	40.027342	31.521396
AT1G02650	AT1G02650	0.4066	0.345501	0.296544	0.294577	0.391714	0.705089
AT1G02660	AT1G02660	4.819572	8.244903	4.156487	2.923503	5.251738	3.259424
AT1G02670	AT1G02670	0.8192	0.135782	0.247707	0.364245	0.803964	0.774844
AT1G02680	TAF13	19.901431	14.598872	16.516733	9.957245	14.736224	15.706956
AT1G02681	AT1G02681	0	0	0	0	1.02126	0.748983
AT1G02690	IMPA6	19.976301	14.834479	18.361657	29.184109	21.546769	19.139221
AT1G02700	AT1G02700	0.560446	2.465507	0.883615	0.724351	0.92461	0.585584
AT1G02710	AT1G02710	0	0	0	1.764916	0	0
AT1G02720	GATL5	7.640023	6.932783	8.52956	9.912705	9.900719	8.731601
AT1G02730	CSLD5	15.903482	12.644636	12.530623	28.772636	28.067863	23.389029
AT1G02740	MRG2	7.77457	10.124154	7.350112	9.205286	8.853461	8.807406
AT1G02750	DI19-2	31.224873	28.691314	37.264695	27.931362	20.157447	29.108129
AT1G02760	AT1G02760	0	0	0	0	0	0
AT1G02770	AT1G02770	0	0.420986	0	0.337973	0.385787	0.266337
AT1G02780	RPL19A	1097.235153	940.802214	1005.209689	1380.010033	998.76134	1077.483477
AT1G02790	PGA3	0	0	0	0.051451	0	0
AT1G02800	CEL2	0.0239	0	0	0.095645	0.474729	0.156868
AT1G02810	PME7	11.311899	10.777144	10.66049	13.042823	11.89171	13.417293
AT1G02813	AT1G02813	0.867389	0.866283	0	0.356793	0.963111	0.822757
AT1G02816	AT1G02816	43.141043	44.7434	45.259533	43.215761	35.586337	38.181568
AT1G02820	AT1G02820	0	0	0	0.556028	1.763547	0.979386
AT1G02830	RPL22A	0	0	0.85133	0	0	0
AT1G02840	SR34	130.977459	156.746038	126.539566	93.466817	109.182131	89.181121
AT1G02850	BGLU11	24.681792	29.131125	24.676045	30.880884	28.248638	30.7294
AT1G02860	BAH1	56.870118	41.802272	61.147969	20.973874	33.093469	31.638728
AT1G02870	AT1G02870	33.409228	40.179223	33.98165	42.260412	27.444086	26.205973
AT1G02880	TPK1	22.957247	33.340576	25.103707	31.509262	29.213301	37.20736
AT1G02890	AT1G02890	31.679633	28.775708	26.978676	30.095859	31.762749	29.472069
AT1G02900	RALF1	222.578466	268.078121	249.44286	278.579073	384.908015	328.084669
AT1G02910	LPA1	11.724252	10.198032	12.3108	11.078229	10.576657	12.757463
AT1G02920	GSTF7	68.552505	36.944925	59.493784	25.219805	49.715612	33.162027
AT1G02930	GSTF6	63.275656	52.205087	66.98182	28.309907	46.11859	38.753383
AT1G02940	GSTF5	0	0	0	0	0	0
AT1G02950	GSTF4	15.647172	11.893468	24.866982	12.085851	21.913043	12.789251
AT1G02952	AT1G02952	0	0	0	0	0	0
AT1G02960	AT1G02960	10.051577	11.498355	10.1738	8.392719	10.456423	6.558803
AT1G02965	AT1G02965	0	0	0	0	0	0
AT1G02970	WEE1	3.58101	3.806173	3.184272	4.348698	4.573842	4.127521
AT1G02980	CUL2	0.31299	0.427814	0.454939	0.478376	0.499356	0.647333
AT1G02990	AT1G02990	6.63911	6.587197	5.69256	7.213923	6.47736	6.398827
AT1G03000	PEX6	8.820095	6.448765	7.530812	6.386548	7.93517	6.69004
AT1G03010	AT1G03010	4.123986	3.509314	4.438943	2.082424	2.186904	1.49757
AT1G03020	GRXS1	0	0	0	0	0	0
AT1G03022	AT1G03022	0	0	0	0	0	0
AT1G03030	AT1G03030	10.636662	14.950308	16.192088	15.366493	14.046599	14.226163
AT1G03040	BHLH7	30.109495	41.24637	36.771988	41.208493	38.029932	38.713398
AT1G03050	AT1G03050	0	0	0	0.041789	0.076857	0.182855
AT1G03055	D27	0	0.675106	0	0	0.239833	0.416041
AT1G03060	SPI	9.903723	8.805127	8.5302	8.959771	10.538976	8.928008
AT1G03070	AT1G03070	2.440139	2.208791	1.371003	1.351197	1.076883	1.678752
AT1G03080	NET1D	31.386641	27.857241	28.679536	31.197026	30.059167	32.528202
AT1G03090	MCCA	82.397547	59.94085	106.664368	12.005067	21.783037	19.365414
AT1G03100	AT1G03100	1.062047	0.749693	0.694934	2.420543	1.639365	1.57647
AT1G03103	AT1G03103	0	0	0	0	0	0
AT1G03106	AT1G03106	1.362758	0.841198	1.486757	1.39037	0.782931	1.251458
AT1G03110	TRM82	11.978314	13.570364	11.462147	17.941616	12.344369	12.854992
AT1G03120	ATRAB28	3.589628	1.474702	2.410089	0.370186	1.608731	0.06586
AT1G03130	PSAD2	10.870029	3.521091	9.15097	2.562684	3.124974	4.336674
AT1G03140	AT1G03140	74.514847	69.838625	76.231321	50.4716	49.226836	51.743798
AT1G03150	AT1G03150	48.704998	40.231806	43.167072	49.660142	36.538734	43.992062
AT1G03160	FZL	4.639967	6.314049	4.952115	3.728513	4.915332	4.256058
AT1G03170	FAF2	0	0.203698	0	1.179758	0.033257	0.296711
AT1G03180	AT1G03180	5.576425	6.640204	4.827812	8.024974	5.758451	7.734422
AT1G03190	UVH6	3.271536	4.548555	3.780514	6.060996	5.230473	5.094875
AT1G03200	AT1G03200	7.604138	4.348966	15.343785	4.811033	4.864217	5.283966
AT1G03210	AT1G03210	53.235477	50.212498	59.169205	51.594382	57.594203	55.3184
AT1G03220	AT1G03220	389.185878	495.96644	490.800057	348.577887	504.531262	464.820187
AT1G03230	AT1G03230	43.562212	41.375104	50.1223	38.937032	40.174578	23.729823
AT1G03240	AT1G03240	1.069339	0	0	0	0.94076	0
AT1G03250	AT1G03250	23.626759	20.253628	23.088904	22.253734	20.475782	22.724249
AT1G03260	AT1G03260	9.139136	9.436742	10.882106	10.385446	9.288589	8.554508
AT1G03270	CBSDUF4	3.638459	3.475166	2.839997	2.421992	2.941093	3.438431
AT1G03280	AT1G03280	30.742558	26.09377	31.615607	27.315652	30.303169	28.60587
AT1G03290	AT1G03290	30.842442	29.999835	30.976162	27.320333	27.648634	29.423221
AT1G03300	ATDUF1	0.871428	0.676766	0.353821	1.292322	1.17714	1.368882
AT1G03310	ISA2	4.345741	3.187053	2.936247	5.662772	5.22512	4.847116
AT1G03320	AT1G03320	0	0	0	0	0	0
AT1G03330	LSM2	78.652148	73.240617	77.369466	90.385928	103.080726	95.519666
AT1G03340	AT1G03340	0.744704	2.000013	1.81206	1.784767	2.391518	2.383339
AT1G03350	AT1G03350	35.994334	37.374948	43.226803	47.032723	42.458442	47.942195
AT1G03360	ATRRP4	12.641348	11.485249	13.094141	21.999846	15.832223	12.142448
AT1G03365	RF4	5.678299	7.056619	6.966787	6.713318	6.372646	5.937773
AT1G03370	AT1G03370	16.278554	12.488085	15.228826	13.354381	15.505803	16.243054
AT1G03380	ATG18G	33.908123	28.636636	35.52463	16.856678	26.130762	21.634532
AT1G03390	AT1G03390	0.606646	0.483083	0.01777	0	0	0.40119
AT1G03400	AT1G03400	3.407634	4.44162	3.833893	2.00883	3.029641	1.427909
AT1G03410	2A6	3.049447	4.73086	4.92465	3.775595	2.558986	3.293245
AT1G03420	Sadhu4-2	2.359585	4.965504	6.479708	2.990225	2.385137	7.15658
AT1G03430	AHP5	26.207731	12.593554	27.963532	18.180236	17.681725	21.320488
AT1G03440	AT1G03440	1.954492	2.674739	2.474416	3.39959	4.209141	2.72428
AT1G03445	BSU1	0.021852	0.464135	0.154089	0.247756	0.354148	0.231389
AT1G03457	BRN2	23.944734	22.63166	24.2528	10.684401	17.54383	16.795661
AT1G03470	NET3A	11.680658	7.945558	11.182134	18.49389	15.790309	10.322021
AT1G03475	CPX1	30.881799	26.854324	35.016145	27.460796	37.054472	29.798264
AT1G03490	NAC006	0	0	0	0	0	0
AT1G03495	3AT2	2.772514	5.04811	2.469014	10.473437	5.516569	6.85171
AT1G03502	AT1G03502	0	0	0	0	0	0
AT1G03506	AT1G03506	0	0	6.884712	0	0	0
AT1G03510	PCMP-E3	1.79769	1.878653	0.77708	1.624017	1.61522	1.315254
AT1G03515	AT1G03515	0	0	0	0	0	0
AT1G03520	AT1G03520	6.439028	8.709081	8.949937	5.003561	3.025708	5.463246
AT1G03530	ATNAF1	9.357368	7.226134	8.324292	14.375676	7.904475	9.744362
AT1G03540	PCMP-E4	1.29358	0.243442	0.242139	1.042199	1.987774	0.53855
AT1G03545	AT1G03545	0.656934	0.670371	0.519471	0.691111	1.370691	1.712055
AT1G03550	SCAMP2	16.568837	13.049253	18.686646	10.921933	14.471853	12.175776
AT1G03560	AT1G03560	4.954427	4.644577	4.222175	5.929757	5.836618	5.424313
AT1G03570	AT1G03570	0	0	0	0	0	0
AT1G03580	AT1G03580	1.710378	1.0659	2.051785	0	0	0.082984
AT1G03590	PPC6-6	18.487507	20.408322	21.018178	16.484006	13.341369	13.710732
AT1G03600	PSB27-1	35.694658	21.827983	34.86497	12.528434	11.727502	15.027393
AT1G03610	AT1G03610	35.350226	30.549296	36.241758	11.005223	15.863488	11.7109
AT1G03620	AT1G03620	8.692543	6.949137	9.672251	7.858546	8.072124	5.218102
AT1G03630	PORC	2.425708	4.001588	1.305728	3.727034	4.729185	4.999735
AT1G03640	AT1G03640	0	0	0	0	0	0
AT1G03650	AT1G03650	14.881023	7.64168	7.058327	6.651755	8.336684	6.672954
AT1G03660	AT1G03660	22.756947	3.875994	10.69501	4.774011	9.719868	2.648676
AT1G03670	AT1G03670	0	0	0	0	0	0
AT1G03680	ATHM1	15.714797	19.509339	13.330956	16.001933	16.816377	19.159667
AT1G03687	AT1G03687	9.238033	10.428278	9.710126	11.339359	11.021381	8.565063
AT1G03700	AT1G03700	11.871135	25.351994	13.203632	11.534558	18.779849	20.703849
AT1G03710	AT1G03710	0.037236	0	0.621407	0	0	0.112435
AT1G03720	AT1G03720	0	0	0	0	0	0
AT1G03730	AT1G03730	19.938465	18.164877	16.940011	26.585581	23.535801	22.691985
AT1G03740	AT1G03740	23.528192	17.67912	27.118227	16.235933	27.852106	22.996779
AT1G03743	AT1G03743	0	0	0	0	0	0
AT1G03746	AT1G03746	0	0	0	0	0	0
AT1G03750	SWI2	6.081455	4.750714	5.780069	4.52579	5.583329	4.394847
AT1G03760	AT1G03760	10.301703	11.222557	8.132182	11.124462	10.100648	8.980064
AT1G03770	RING1B	8.486796	7.766585	9.00009	8.272253	7.418752	6.923012
AT1G03780	TPX2	9.301528	6.349583	9.880424	9.637724	12.892953	6.473148
AT1G03790	SOM	0	1.640535	0	0	0	0.089804
AT1G03800	ERF10	0.827757	0	0	0.715225	1.043745	0
AT1G03810	AT1G03810	0	0	0	0	0	0
AT1G03820	AT1G03820	61.38734	75.799571	74.643099	252.103359	180.613773	202.070983
AT1G03830	AT1G03830	6.792481	5.429096	3.890419	7.251976	5.045042	6.370742
AT1G03840	MGP	6.327294	5.983503	4.743358	9.873643	4.987592	7.292325
AT1G03850	GRXS13	183.770639	283.782034	247.655375	83.578296	156.598379	119.075707
AT1G03860	PHB2	69.123406	61.614854	60.625192	94.067617	67.78336	71.398074
AT1G03870	FLA9	404.233354	354.991774	393.976225	298.40851	255.154603	322.81334
AT1G03880	CRB	0	0	0	0.104777	0	0.200417
AT1G03890	CRD	0	0	0	0	0	0
AT1G03900	ATNAP4	193.714848	199.292599	179.900124	133.702031	142.927877	146.036958
AT1G03905	ABCI19	11.162864	21.733599	12.628676	14.824232	10.213738	9.063434
AT1G03910	CTN	37.141109	38.110138	38.10573	39.020722	35.962803	35.943075
AT1G03920	AT1G03920	7.786129	2.984554	5.446308	3.523821	6.321947	5.545654
AT1G03930	ADK1	10.913937	13.598024	10.97626	13.375492	12.634469	11.088578
AT1G03935	AT1G03935	0	0	0	0	0	0
AT1G03940	3AT1	1.902689	1.422424	1.130221	5.043526	3.932526	4.306067
AT1G03950	VPS2.3	24.864036	23.033706	26.699984	25.243221	26.860071	28.792414
AT1G03960	B''EPSILON	4.329219	2.66994	4.501227	6.757498	5.158361	5.482147
AT1G03970	GBF4	29.818915	37.100407	26.047028	21.977367	24.961193	26.643787
AT1G03980	PCS2	0.970802	0.164949	1.831405	0.875299	0.586764	1.2324
AT1G03982	RIC8	0	0	0	0	0	0
AT1G03990	FAO1	0.917706	1.006443	2.033501	1.221143	1.15462	0.741384
AT1G04000	AT1G04000	10.159211	15.45773	14.729882	15.10503	14.756128	15.364338
AT1G04010	PSAT	6.03222	5.129584	6.098605	7.984598	6.112714	6.614694
AT1G04020	BARD1	5.866201	3.020222	3.670817	8.913603	6.778677	4.699972
AT1G04030	AT1G04030	12.964086	7.687643	10.604403	10.732522	11.540436	9.389926
AT1G04040	AT1G04040	380.698712	284.462416	353.405938	317.998508	272.22144	312.369154
AT1G04050	SUVR1	2.701077	3.102794	1.690058	3.997382	2.718677	3.015656
AT1G04070	TOM9-1	16.384392	20.543321	12.879351	22.568556	21.238431	30.601185
AT1G04080	PRP39	42.384322	38.174446	38.527559	41.13179	38.049734	35.226664
AT1G04090	AT1G04090	1.39139	0.967163	0.387253	1.001816	1.365344	0.957437
AT1G04100	IAA10	6.45665	8.17378	3.402097	4.79533	5.445364	6.201145
AT1G04110	SBT1.2	0	0	0	0	0	0
AT1G04120	ABCC5	25.53814	26.217887	22.059714	38.618294	29.786984	32.147321
AT1G04130	TPR2	8.519723	6.533201	4.55197	12.462361	9.387554	10.050429
