Geneid	gene_name	SRR3655795Aligned.sortedByCoord.out.bam	SRR3655801Aligned.sortedByCoord.out.bam	SRR3655791Aligned.sortedByCoord.out.bam	SRR3655798Aligned.sortedByCoord.out.bam	SRR3655797Aligned.sortedByCoord.out.bam	SRR3655799Aligned.sortedByCoord.out.bam	SRR3655793Aligned.sortedByCoord.out.bam	SRR3655800Aligned.sortedByCoord.out.bam	SRR3655802Aligned.sortedByCoord.out.bam	SRR3655792Aligned.sortedByCoord.out.bam	SRR3655794Aligned.sortedByCoord.out.bam	SRR3655796Aligned.sortedByCoord.out.bam
LOC103910100	NA	0	0	0	1	1	0	0	7	0	0	0	1
slitrk6	NA	28	18	45	6	6	15	8	42	43	106	20	68
LOC101887188	NA	0	0	0	0	0	0	0	0	0	1	0	1
slitrk1	NA	12	1	2	4	4	3	2	4	6	11	1	26
LOC101882161	NA	0	0	0	1	1	0	1	1	0	0	1	0
LOC103911774	NA	0	0	0	0	0	0	0	0	0	0	0	0
spry2	NA	292	398	229	366	366	445	292	1042	1033	696	703	742
ndfip2	NA	1723	1156	2258	2178	2178	1937	2253	5177	2840	5673	5795	4101
tuba8l2	NA	4094	5203	4337	1321	1321	5169	4264	13362	13853	10857	11339	10213
stk16	NA	40	119	61	259	259	165	65	354	299	180	167	122
mnx2b	NA	13	172	24	150	150	540	25	1310	521	61	71	30
atic	NA	272	377	161	197	197	193	237	522	881	414	535	636
fn1b	NA	2952	21644	2250	11622	11622	30224	964	75513	54349	5526	2494	7149
cpo	NA	3661	64	2212	6	6	9	2027	22	112	5427	5112	8893
nrp2a	NA	29	102	19	110	110	64	30	159	222	65	71	68
pard3ba	NA	181	431	316	234	234	450	305	1252	1092	725	804	465
abcb6a	NA	251	209	412	138	138	348	394	934	523	1046	1037	653
cnppd1	NA	500	668	503	860	860	584	482	1476	1698	1304	1168	1146
prkag3a	NA	20	11	50	1	1	24	33	73	30	107	94	57
retreg2	NA	135	148	167	264	264	245	151	636	394	382	370	298
mdh1b	NA	0	0	1	1	1	1	0	3	8	3	2	2
fastkd2	NA	382	419	409	312	312	400	350	879	1156	908	909	931
gtf3c3	NA	169	183	139	112	112	138	91	358	453	351	303	352
hecw2b	NA	78	52	68	145	145	88	42	201	157	158	117	175
klf7a	NA	7	2	7	7	7	12	4	17	5	16	6	8
si:ch211-93g23.2	NA	105	653	90	36	36	351	146	764	1559	279	396	263
ube2f	NA	269	485	240	361	361	366	283	1003	1132	576	788	584
erbb4a	NA	1	0	15	0	0	0	0	0	0	31	0	1
LOC108184914	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch73-383l1.1	NA	0	0	1	1	1	0	0	0	1	1	0	1
lancl1	NA	109	290	116	212	212	347	137	852	845	287	377	294
mylz3	NA	25	65	22	13	13	26	16	60	175	63	63	73
pcnp	NA	81	80	55	85	85	104	74	245	218	154	185	134
mxa	NA	72	266	60	1567	1567	345	66	879	644	162	182	191
mxb	NA	5	6	2	382	382	77	2	130	9	2	12	7
efnb2b	NA	7	17	11	27	27	14	7	25	51	35	25	35
arglu1b	NA	656	645	753	617	617	551	556	1454	1485	1930	1337	1605
en1b	NA	1	0	0	2	2	1	0	1	1	1	0	0
radil	NA	0	0	3	0	0	0	0	2	1	5	0	1
wu:fc47e11	NA	23	10	9	47	47	23	24	79	24	29	45	81
si:dkey-79f11.10	NA	294	4127	794	4614	4614	2406	337	6281	11454	2124	857	909
si:dkey-79f11.9	NA	0	122	66	66	66	93	0	211	268	157	0	0
si:dkey-79f11.7	NA	1051	6262	1868	6130	6130	3514	432	8609	15091	4582	1106	2640
si:dkey-79f11.5	NA	70	200	3	130	130	128	71	289	458	13	125	192
si:dkeyp-9d4.2	NA	801	5800	308	3170	3170	4084	1051	10180	13836	802	2614	1844
si:dkeyp-9d4.3	NA	27	14	21	12	12	15	6	31	45	57	12	61
si:dkeyp-9d4.5	NA	8	9	1	17	17	3	2	9	16	6	6	18
LOC101882918	NA	56	168	53	697	697	204	78	580	465	130	188	142
grapb	NA	0	0	0	0	0	0	0	0	1	0	0	0
LOC103911848	NA	0	0	0	0	0	0	0	0	0	0	0	0
cacna1hb	NA	20	11	18	6	6	17	11	34	24	52	27	73
syngr3b	NA	81	161	30	302	302	136	71	332	341	70	205	202
myo15ab	NA	6	4	2	9	9	7	3	11	9	8	11	20
alkbh5	NA	225	211	141	199	199	186	151	409	482	386	375	449
mief2	NA	81	92	124	116	116	44	83	137	189	287	193	237
smcr8b	NA	5	12	14	58	58	23	15	48	32	25	21	14
zgc:112980	NA	0	0	0	0	0	0	0	0	0	1	0	0
ptcd1	NA	37	40	28	83	83	40	26	98	102	95	77	98
LOC110439701	NA	37	1	1	0	0	1	0	2	0	1	1	86
si:ch211-160d14.9	NA	4	2	6	3	3	0	23	0	2	9	63	10
si:ch211-160d14.6	NA	1	1	0	1	1	0	0	0	1	0	1	0
zgc:153118	NA	0	0	2	1	1	0	0	0	0	1	0	0
LOC101883376	NA	0	1	0	1	1	8	3	11	3	0	17	0
LOC103911895	NA	0	0	0	0	0	0	0	0	0	0	0	0
fbxl18	NA	11	12	11	19	19	23	38	55	42	28	68	39
actb1	NA	5270	9260	4700	18552	18552	9305	15106	23575	23164	12319	38985	13006
fscn1b	NA	2	1	5	2	2	3	14	2	2	9	40	2
abcg2b	NA	2	1	4	5	5	0	2	3	0	8	3	2
zgc:77849	NA	0	0	0	0	0	0	0	0	0	0	0	0
grin2ab	NA	0	2	0	0	0	0	0	2	1	2	4	1
si:ch73-191k20.1	NA	0	0	0	2	2	0	0	0	0	0	1	0
socs1b	NA	48	461	37	144	144	237	60	624	1009	80	135	123
si:ch73-191k20.4	NA	12	19	55	52	52	34	54	80	50	133	129	20
LOC103911865	NA	0	1	1	0	0	0	0	0	1	0	0	0
tlr2	NA	6	13	1	13	13	11	7	25	25	12	23	4
prkcba	NA	1	2	0	2	2	5	1	11	10	5	3	3
cacng3a	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-14k19.8	NA	0	24	8	4	4	3	0	7	57	14	9	5
ndufab1a	NA	65	312	15	7	7	123	0	298	791	31	0	181
palb2	NA	4	23	5	2	2	22	32	50	78	6	89	19
LOC110439775	NA	0	0	0	0	0	0	0	1	1	0	1	1
zgc:152698	NA	0	8	1	0	0	3	0	11	14	1	3	1
plk1	NA	0	0	0	0	0	0	0	0	0	0	0	0
ern2	NA	8	26	21	13	13	32	20	99	52	62	42	18
chtf18	NA	1	30	3	13	13	18	16	48	83	6	50	8
gng13a	NA	0	0	0	0	0	0	2	1	0	0	1	0
si:dkeyp-57d7.4	NA	0	1	6	0	0	3	3	4	2	10	2	0
zgc:136472	NA	425	890	895	120	120	506	693	1325	2289	2275	1660	1018
ubn1	NA	0	0	0	0	0	0	0	0	0	0	0	0
uncx4.1	NA	0	0	1	1	1	1	1	0	0	4	0	0
LOC101883884	NA	0	0	0	0	0	0	0	0	0	0	0	0
micall2b	NA	350	360	622	468	468	473	580	1225	804	1539	1464	1000
si:ch73-12o23.1	NA	4135	2059	7111	1406	1406	2954	6516	7177	5011	17553	15996	10477
elfn1b	NA	1	4	55	2	2	1	1	4	0	113	4	0
ugt5b5	NA	146	108	186	34	34	155	400	487	240	332	847	256
ugt5b4	NA	506	218	550	116	116	369	1241	884	587	1522	3070	1161
ugt5b3	NA	449	269	782	61	61	156	814	444	582	1967	1931	1000
ugt5b2	NA	303	325	354	246	246	154	255	436	839	911	558	734
ugt5b1	NA	216	97	247	143	143	82	186	262	297	779	408	479
mad1l1	NA	75	208	71	182	182	138	64	372	476	214	195	189
pmm2	NA	26	183	40	327	327	152	87	394	472	105	222	67
zgc:56409	NA	60	89	53	81	81	121	54	335	280	165	166	117
rgs11	NA	10	49	11	8	8	17	13	55	123	20	38	40
tmem8a	NA	176	518	334	470	470	864	342	2168	1290	832	787	421
LOC110439781	NA	1	0	0	1	1	0	0	2	2	1	3	2
pdia2	NA	2165	1799	584	680	680	1280	492	3082	4414	1432	1269	5225
si:dkeyp-75b4.8	NA	0	0	0	0	0	0	0	1	0	0	0	0
LOC101884154	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101884122	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkeyp-75b4.9	NA	51	86	41	11	11	60	89	134	209	84	221	135
si:dkeyp-75b4.10	NA	233	1119	755	207	207	866	1102	2182	2813	1814	2626	564
trim2b	NA	10	11	10	26	26	23	1	52	18	11	5	13
rnf175	NA	111	354	160	179	179	215	131	631	762	373	320	307
fgb	NA	23	6893	2	33314	33314	17877	30	44995	17120	15	81	35
LOC100536670	NA	0	5	0	54	54	18	0	45	7	0	0	0
fga	NA	11	7712	6	43305	43305	22659	22	58754	19848	13	67	33
lratb	NA	241	273	176	122	122	216	257	624	640	411	665	548
lratb.2	NA	0	0	0	3	3	0	1	0	1	1	0	0
rbm46	NA	0	0	0	0	0	0	0	0	0	0	0	0
npy2rl	NA	28	31	19	18	18	32	26	64	68	32	34	84
eif3f	NA	6106	3785	5851	3267	3267	3602	4111	8867	9380	15220	10692	15190
zgc:77880	NA	22	35	13	61	61	25	12	101	86	55	29	52
tmem55bb	NA	1	19	11	10	10	19	5	49	40	22	28	12
LOC557811	NA	0	0	0	0	0	0	0	0	0	0	0	0
dachb	NA	0	0	0	0	0	0	0	0	1	0	0	0
tnrc5	NA	0	0	0	0	0	0	0	0	0	0	0	0
trpc5a	NA	0	0	0	0	0	0	0	0	0	0	0	0
zgc:174945	NA	1	13	3	14	14	0	0	7	26	20	3	3
si:dkey-31e10.1	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-31e10.5	NA	5	82	18	364	364	71	8	148	191	28	14	6
si:dkey-31e10.6p	NA	16	48	24	246	246	31	11	107	112	67	44	44
zgc:103678	NA	97	347	117	170	170	337	80	894	890	347	214	235
atp1b1b	NA	9	7	11	6	6	20	6	59	17	22	11	38
LOC100334711	NA	0	1	0	0	0	0	0	1	1	0	0	0
si:ch73-222h13.1	NA	0	1	0	1	1	1	0	3	9	2	2	2
crfb15	NA	55	76	33	82	82	86	42	215	192	74	100	116
dmd	NA	71	172	71	101	101	128	53	364	351	155	119	178
casc5	NA	0	51	0	45	45	23	0	55	135	1	0	4
knstrn	NA	3	158	2	69	69	49	10	139	386	2	22	7
sdk1b	NA	2	2	1	2	2	0	2	1	2	5	2	3
si:dkey-26i13.7	NA	0	0	0	0	0	0	0	0	0	1	0	0
si:dkey-26i13.6	NA	0	1	0	0	0	0	1	3	3	0	2	1
si:dkey-26i13.5	NA	0	0	0	12	12	0	0	0	0	0	0	0
si:dkey-26i13.3	NA	1	0	3	12	12	0	4	2	2	0	5	1
si:dkey-26i13.4	NA	0	7	10	0	0	3	2	5	11	24	6	1
LOC797518	NA	43	43	74	188	188	81	0	175	144	168	0	77
brat1	NA	115	210	110	124	124	165	96	408	488	238	274	260
si:dkey-26i13.8	NA	0	0	0	1	1	0	0	1	0	4	0	1
chst12b	NA	0	0	0	0	0	0	0	1	0	0	0	0
zmp:0000001069	NA	0	0	0	0	0	0	0	1	1	0	1	1
ttyh3b	NA	20	7	9	20	20	56	2	150	27	21	8	67
iqce	NA	45	79	54	45	45	79	38	215	176	124	129	103
snx8b	NA	14	8	19	1	1	2	30	9	14	48	59	19
grk4	NA	130	113	132	266	266	113	167	309	275	361	374	318
tspan5b	NA	63	57	65	358	358	111	71	264	159	166	178	163
slc24a2	NA	3	2	0	3	3	2	12	12	6	1	39	3
saraf	NA	298	466	318	466	466	563	290	1347	1295	807	848	802
pla2g12a	NA	480	582	425	287	287	677	664	1619	1418	1030	1670	1173
LOC110439783	NA	0	0	0	0	0	0	0	0	1	0	0	0
xpa	NA	18	72	46	86	86	73	67	196	167	112	110	58
mtp	NA	4323	3461	4002	1112	1112	2097	5361	5135	8585	10277	13668	10538
spink4	NA	1147	363	454	141	141	197	100	438	888	1217	257	2789
b4galt1	NA	58	54	21	71	71	54	36	128	119	85	65	127
stra6l	NA	1730	2674	1423	1026	1026	2096	2006	5269	6569	3611	4692	3974
tdrd7a	NA	0	0	0	0	0	0	0	2	1	0	0	0
tmod1	NA	33	57	30	14	14	45	17	104	137	84	67	82
cplx2l	NA	8	22	7	25	25	13	9	56	35	23	15	20
gne	NA	105	153	77	209	209	211	113	524	411	216	323	250
nansa	NA	198	336	211	237	237	285	270	767	809	492	647	501
clta	NA	97	242	103	119	119	176	131	452	598	252	334	242
sclt1	NA	0	0	0	0	0	0	0	0	0	0	0	0
zgc:77739	NA	4	17	6	7	7	8	7	19	22	17	30	6
LOC103911926	NA	0	0	0	1	1	0	0	0	0	0	0	0
pcdh10a	NA	30	58	42	32	32	33	35	91	156	94	77	75
si:dkeyp-7b3.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkeyp-106c3.2	NA	0	0	0	0	0	0	0	0	0	0	2	1
pcdh18a	NA	87	60	52	96	96	23	64	63	133	136	166	226
LOC101886760	NA	0	2	1	0	0	2	3	0	3	3	2	0
LOC101886790	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101886839	NA	0	0	4	0	0	3	15	8	3	11	35	1
noctb	NA	0	0	0	0	0	0	0	0	0	0	0	0
elf2b	NA	12	16	18	31	31	12	17	44	47	52	34	44
mgarp	NA	0	0	2	0	0	1	1	1	3	3	2	2
hpf1	NA	19	30	28	14	14	34	59	107	73	78	139	43
ank2a	NA	32	6	16	20	20	10	17	47	20	44	38	87
LOC101887098	NA	0	0	0	0	0	1	0	0	0	0	0	0
camk2d2	NA	16	14	11	5	5	20	10	52	42	28	31	22
cxcl8a	NA	55	154	81	2888	2888	301	55	720	425	200	146	148
pde5aa	NA	42	19	21	70	70	22	16	45	43	27	48	77
ppp2r2ca	NA	28	2	30	2	2	5	13	4	4	65	28	41
wfs1a	NA	1	1	2	1	1	0	1	0	1	0	0	0
crmp1	NA	7	0	4	2	2	1	0	9	4	22	5	8
LOC567498	NA	0	0	0	6	6	0	2	1	1	3	4	1
fip1l1b	NA	376	615	360	583	583	527	322	1402	1680	948	925	983
LOC553528	NA	19	42	33	23	23	30	28	90	90	70	84	69
chic2	NA	254	384	256	438	438	361	270	864	995	652	661	558
slc34a2aas	NA	6	0	3	1	1	1	4	7	1	7	8	12
slc34a2a	NA	29254	4073	12977	1694	1694	2037	26011	5070	10117	32697	64856	70677
rbpja	NA	451	216	151	350	350	212	184	577	601	445	434	1035
stim2a	NA	2	3	1	6	6	1	1	7	8	3	4	6
LOC101882365	NA	2	4	0	11	11	3	4	8	6	2	10	8
si:dkey-194g4.1	NA	2	2	4	3	3	2	1	8	9	5	3	9
LOC100004921	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439785	NA	0	0	0	0	0	1	0	0	0	0	0	0
LOC100004978	NA	0	0	4	0	0	2	0	0	0	1	4	3
LOC110437782	NA	34	32	13	30	30	28	43	60	67	31	103	72
LOC100329816	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100332745	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101884963	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100005071	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110438559	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108189345	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108189470	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108189376	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110438560	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100330143	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108185170	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100537170	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100330009	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101886102	NA	1	0	0	0	0	1	0	0	1	0	1	2
LOC100330441	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110438568	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103911961	NA	0	0	0	0	0	0	0	0	0	0	0	0
pcdh7a	NA	140	70	48	58	58	154	21	363	151	109	56	296
itln1	NA	174	1352	564	146	146	1342	1057	3266	3286	1409	2550	397
hgsnat	NA	102	248	144	353	353	253	149	691	603	418	348	237
pi4k2b	NA	579	430	616	906	906	386	483	906	1100	1446	1095	1348
dlc1	NA	199	158	92	722	722	266	184	713	394	256	458	539
sgcz	NA	0	0	0	0	0	0	0	0	0	1	0	0
tusc3	NA	13	44	9	35	35	31	6	118	103	37	31	39
fgf20a	NA	0	0	0	0	0	0	0	0	0	0	0	0
micu3a	NA	0	0	0	0	0	0	1	2	3	1	2	3
LOC794952	NA	0	29	5	15	15	14	3	47	55	6	5	4
vps37a	NA	66	42	96	166	166	102	27	319	144	219	86	163
LOC110439786	NA	2	1	2	3	3	3	0	2	1	4	1	4
mtmr7b	NA	4	0	2	3	3	4	0	9	2	9	1	5
mtus1b	NA	185	38	123	33	33	37	29	77	71	319	66	426
pcm1	NA	77	175	79	114	114	124	81	308	352	217	222	177
asah1b	NA	339	998	380	1829	1829	1211	475	3335	2575	1063	1272	768
LOC103912018	NA	0	0	0	0	0	0	1	0	0	0	1	0
LOC110439707	NA	0	0	0	0	0	0	0	0	0	0	0	0
frg1	NA	154	342	162	310	310	283	184	798	914	414	484	380
fat1a	NA	13	13	16	21	21	24	14	66	41	34	36	51
casp3a	NA	0	0	0	0	0	0	0	0	0	0	0	0
acsl1a	NA	0	0	0	0	0	0	0	0	0	1	0	0
helt	NA	0	0	0	0	0	1	3	2	2	0	4	1
si:ch211-197n1.2	NA	0	1	1	0	0	0	0	0	1	2	1	1
slc25a4	NA	0	0	0	0	0	0	0	0	0	0	0	1
cfap97	NA	6	11	11	15	15	16	4	25	30	17	11	9
ankrd37	NA	0	7	4	11	11	8	3	23	8	8	9	0
ufsp2	NA	16	102	74	157	157	154	70	355	273	169	165	28
si:dkey-256e7.8	NA	0	0	2	1	1	4	0	4	1	5	0	1
pdlim3a	NA	24	32	20	2	2	9	8	51	113	47	34	66
sorbs2a	NA	9	10	6	11	11	19	8	18	21	21	12	33
tlr3	NA	0	0	0	0	0	0	0	0	0	0	0	0
cyp4v8	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101885541	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101885801	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101885905	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101885961	NA	0	0	0	1	1	0	0	0	0	0	0	0
mtnr1aa	NA	0	0	0	0	0	0	0	0	0	0	0	0
klhl5	NA	0	1	0	0	0	0	0	1	0	0	0	0
si:dkey-192k22.2	NA	21	10	21	90	90	13	23	26	26	30	38	34
fam114a1	NA	28	76	73	82	82	72	50	188	163	168	115	61
trnap-agg	NA	0	0	0	0	0	0	0	0	0	0	0	0
klf3	NA	156	95	84	77	77	99	113	228	281	246	312	300
tbc1d1	NA	4	9	4	14	14	6	1	14	16	8	3	9
pgm2	NA	123	158	97	397	397	157	162	442	387	210	409	254
si:dkey-167i21.2	NA	0	0	1	0	0	0	0	0	0	0	0	0
slc25a51a	NA	1	0	1	1	1	1	0	0	1	1	0	1
LOC100535985	NA	1	0	0	0	0	0	1	0	0	1	2	0
zgc:195282	NA	68	70	40	135	135	54	94	138	156	141	243	178
rnf38	NA	103	230	182	559	559	232	159	658	575	469	404	290
LOC101886347	NA	1	3	1	2	2	0	2	1	0	9	2	1
limch1a	NA	17	10	10	16	16	8	8	13	25	18	20	38
phox2ba	NA	0	3	0	1	1	5	0	7	0	0	2	1
exosc9	NA	93	154	73	151	151	133	84	355	362	182	186	208
trnai-aau	NA	0	0	0	0	0	0	0	0	1	0	0	1
ptpn9b	NA	143	146	130	255	255	147	117	432	356	338	304	356
ptprdb	NA	188	104	154	226	226	89	101	233	266	345	275	408
LOC108190005	NA	0	0	0	0	0	0	0	0	0	0	1	1
si:dkeyp-118a3.2	NA	0	0	0	1	1	0	0	0	0	0	0	0
tyrp1b	NA	0	0	0	1	1	0	0	2	6	3	1	2
rbm47	NA	3439	4788	3625	4035	4035	5565	4757	13576	11466	8944	11752	8126
lap3	NA	159	250	108	304	304	251	173	628	598	259	451	418
clockb	NA	102	170	104	200	200	236	122	568	417	285	289	257
kitb	NA	0	0	0	0	0	0	0	0	0	0	0	0
clrn2	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-245p14.4	NA	0	0	0	0	0	0	0	0	0	0	0	0
smc2	NA	0	0	0	0	0	0	0	0	0	0	0	0
kiaa0368	NA	24	45	17	33	33	29	12	93	118	36	36	56
fbxo10	NA	0	0	0	0	0	0	0	0	0	0	0	0
polr1e	NA	0	0	0	0	0	0	0	0	0	0	0	0
tmem192	NA	0	0	0	0	0	0	0	0	0	0	0	0
apela	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100536104	NA	1	0	0	0	0	0	0	0	0	0	0	0
