Geneid	gene_name	SRR3655801	SRR3655798	SRR3655791	SRR3655799	SRR3655795	SRR3655793	SRR3655797	SRR3655792	SRR3655794	SRR3655800	SRR3655802	SRR3655796
mrpl16	NA	413	356	420	355	381	401	356	1188	1402	1055	1379	1155
cenpq	NA	39	48	6	18	7	20	48	15	35	52	120	12
LOC101885604	NA	32	29	6	10	5	21	29	29	44	47	86	15
mir155	NA	0	0	0	0	0	0	0	0	0	0	0	0
mrpl39	NA	312	212	203	229	218	269	212	563	706	647	867	551
jam2a	NA	79	40	92	49	123	55	40	289	155	95	200	248
atp5j	NA	2006	1091	1160	1109	1249	1213	1091	3008	3122	2959	5049	3247
appa	NA	1766	2293	1857	1916	2016	1577	2293	5058	4332	5062	4630	4926
cyyr1	NA	84	108	43	66	74	42	107	114	137	184	325	207
adamts1	NA	43	918	22	711	38	37	918	60	77	1884	121	75
adamts5	NA	7	16	2	3	1	1	16	7	2	20	22	6
n6amt1	NA	122	89	102	128	92	73	89	246	222	381	291	285
gart	NA	223	113	102	227	130	141	113	324	354	606	696	330
LOC100332351	NA	89	60	89	87	69	38	60	232	87	244	251	147
LOC101886071	NA	12	4	32	4	10	1	4	80	0	3	33	36
donson	NA	26	23	1	15	3	13	23	4	25	23	56	2
runx1	NA	23	281	10	54	12	18	281	32	55	167	47	45
mir459	NA	0	0	0	0	0	0	0	1	0	1	0	0
urp2	NA	0	0	0	0	0	0	0	1	0	0	0	0
LOC100333907	NA	5	10	15	7	10	6	10	28	13	14	23	29
atp1a1a.4	NA	10432	1187	18509	14716	19327	22454	1187	49071	61729	38495	28159	49599
atp1a1a.1	NA	9747	12170	23474	6516	16058	17888	12170	63284	49933	17692	26304	41054
LOC108187381	NA	0	0	0	0	0	0	0	0	0	0	0	2
atp1a1a.2	NA	6	3	62	15	20	27	3	179	28	27	6	31
atp1a1a.3	NA	16	51	74	9	18	24	51	162	27	17	13	16
atp1a1a.5	NA	111	18	138	95	337	169	18	421	489	317	302	779
si:ch211-132g1.3	NA	65	270	81	140	47	39	270	162	106	409	179	114
LOC103911757	NA	15	4	0	1	1	0	4	1	1	1	44	1
si:ch211-132g1.6	NA	7	29	16	10	3	7	29	34	25	22	21	10
si:ch211-132g1.4	NA	212	110	98	154	217	262	110	220	680	379	581	559
si:ch211-132g1.1	NA	72	133	108	91	88	164	133	282	399	276	161	290
si:ch211-132g1.7	NA	41	62	26	24	10	8	62	42	8	102	92	33
slc5a3a	NA	3	13	0	0	0	3	13	0	9	6	5	1
oxgr1a.1	NA	0	1	1	1	0	0	1	0	0	0	0	0
oxgr1a.3	NA	0	0	0	0	0	0	0	0	0	0	0	0
oxgr1a.2	NA	0	6	0	0	0	0	6	0	3	1	2	1
mbnl2	NA	520	836	417	597	365	392	836	1055	1045	1575	1250	953
rap2ab	NA	1	4	0	13	2	0	4	2	0	18	1	0
kpnb3	NA	1729	1618	2052	1561	2242	1675	1618	5256	4608	4112	4742	5822
farp1	NA	252	280	197	366	213	263	280	544	685	924	649	625
si:ch211-235f1.3	NA	0	0	0	0	0	0	0	2	0	0	0	0
ggact.3	NA	286	0	0	268	73	1	0	0	5	688	723	178
ggact.2	NA	859	1	248	445	281	1	1	678	1	1014	2191	611
ggact.1	NA	1677	16	1110	1249	568	19	16	3001	98	3085	4225	1423
gpc6a	NA	5	11	7	7	4	4	11	7	12	19	10	5
LOC110439758	NA	1	0	0	0	0	0	0	0	0	0	2	0
gpc5a	NA	46	60	27	52	27	31	60	63	85	121	112	81
mir92a-1	NA	1	1	1	0	2	0	1	3	0	3	3	2
mir19b	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir20a	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir19a	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir18a	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir17a-1	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103910100	NA	0	1	0	0	0	0	1	0	0	6	0	1
slitrk6	NA	18	6	37	15	26	8	6	103	19	40	43	66
LOC101887188	NA	0	0	0	0	0	0	0	1	0	0	0	2
slitrk1	NA	1	4	2	3	10	2	4	11	1	4	6	23
LOC101882161	NA	0	1	0	0	0	0	1	0	2	0	0	0
LOC103911774	NA	0	0	0	0	0	0	0	0	0	0	0	0
spry2	NA	356	335	210	416	256	263	335	673	670	998	992	701
ndfip2	NA	905	1803	1939	1646	1380	1768	1802	5168	4893	4641	2428	3434
tuba8l2	NA	4743	1206	4056	4870	3737	3862	1206	10669	11138	13177	13411	9825
stk16	NA	97	236	48	140	32	55	236	156	138	314	256	111
mnx2b	NA	154	137	23	497	12	23	137	60	67	1254	495	28
atic	NA	301	165	138	162	238	196	165	375	494	478	773	572
fn1b	NA	19375	10708	2070	27938	2716	899	10708	5402	2438	72568	51905	6912
cpo	NA	60	6	2044	9	3401	1803	6	5313	4951	22	109	8774
nrp2a	NA	94	105	18	58	27	27	105	62	68	156	217	67
pard3ba	NA	357	191	289	409	134	247	191	706	710	1188	986	390
abcb6a	NA	179	119	353	313	221	335	119	943	932	866	476	596
cnppd1	NA	591	769	452	522	443	415	769	1207	1063	1365	1580	1075
prkag3a	NA	9	1	42	19	18	29	1	103	91	71	30	55
retreg2	NA	140	248	149	233	128	137	248	367	363	627	387	296
mdh1b	NA	0	1	1	1	0	0	1	3	1	2	8	2
fastkd2	NA	363	287	364	374	347	334	287	861	902	848	1102	885
gtf3c3	NA	167	102	126	126	163	83	102	334	297	354	448	348
hecw2b	NA	51	140	65	85	71	40	140	154	114	197	151	171
klf7a	NA	2	6	7	12	6	3	6	16	6	17	5	8
si:ch211-93g23.2	NA	592	35	81	345	98	135	35	279	396	756	1504	260
ube2f	NA	434	321	205	326	243	238	321	532	718	949	1023	539
erbb4a	NA	0	0	13	0	1	0	0	30	0	0	0	1
LOC108184914	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch73-383l1.1	NA	0	1	1	0	0	0	1	1	0	0	0	1
lancl1	NA	252	191	99	313	98	124	191	276	359	818	816	282
mylz3	NA	61	12	20	24	21	14	12	61	60	56	167	71
pcnp	NA	73	72	47	108	70	71	72	143	185	239	184	120
mxa	NA	215	1246	46	280	56	55	1246	121	139	732	527	158
mxb	NA	7	368	2	74	6	2	368	2	12	129	9	7
efnb2b	NA	16	25	11	11	5	7	25	35	25	25	50	33
arglu1b	NA	572	534	664	512	585	514	534	1812	1320	1433	1358	1494
en1b	NA	0	2	0	1	1	0	2	1	0	1	1	0
radil	NA	0	0	2	0	0	0	0	3	0	2	1	1
wu:fc47e11	NA	7	50	7	24	24	22	50	32	45	78	29	78
si:dkey-79f11.10	NA	3217	3758	734	1983	37	16	3758	1983	41	5555	9345	85
si:dkey-79f11.9	NA	112	65	65	88	0	0	65	157	0	209	263	0
si:dkey-79f11.7	NA	4776	3968	1487	2777	652	91	3968	3885	343	6959	12564	1759
si:dkey-79f11.5	NA	10	19	2	9	6	0	19	3	3	11	37	15
si:dkeyp-9d4.2	NA	4467	2725	260	3300	643	831	2725	704	2279	8494	11373	1561
si:dkeyp-9d4.3	NA	13	11	21	14	27	6	11	54	12	31	41	58
si:dkeyp-9d4.5	NA	8	14	1	2	7	2	14	6	6	8	15	17
LOC101882918	NA	141	649	50	191	50	66	649	120	174	544	425	128
grapb	NA	0	0	0	0	0	0	0	0	0	0	1	0
LOC103911848	NA	0	0	0	0	0	0	0	0	0	0	0	0
cacna1hb	NA	9	6	16	17	19	9	6	49	26	34	22	72
syngr3b	NA	124	276	26	114	62	57	276	64	182	293	298	173
myo15ab	NA	4	9	1	6	6	1	9	6	9	10	7	19
alkbh5	NA	194	189	135	178	208	136	189	383	358	397	467	435
mief2	NA	83	108	116	41	73	72	108	285	187	132	186	228
smcr8b	NA	13	54	13	23	4	13	54	25	21	48	33	14
zgc:112980	NA	2	2	1	1	2	1	2	0	1	0	2	0
ptcd1	NA	38	81	23	41	30	24	81	88	78	91	95	90
LOC110439701	NA	1	0	1	1	29	0	0	1	0	1	0	62
si:ch211-160d14.9	NA	1	3	5	0	4	21	3	8	47	0	1	6
si:ch211-160d14.6	NA	1	1	0	0	1	0	1	0	1	1	1	0
zgc:153118	NA	0	1	5	0	0	0	1	3	0	0	0	0
LOC101883376	NA	1	1	0	8	0	3	1	0	17	11	3	0
LOC103911895	NA	0	0	0	0	0	0	0	0	0	0	0	0
fbxl18	NA	11	20	13	24	8	32	20	33	69	54	43	37
actb1	NA	9694	19503	5300	9105	5329	14561	19503	14089	38981	23410	24734	13409
fscn1b	NA	1	3	3	3	2	13	3	8	41	2	2	2
abcg2b	NA	3	6	28	3	12	20	6	32	8	5	0	7
zgc:77849	NA	15	21	10	14	14	13	21	8	5	8	9	10
grin2ab	NA	2	0	0	0	0	0	0	2	4	2	1	1
si:ch73-191k20.1	NA	0	2	0	0	0	0	2	0	1	0	0	0
socs1b	NA	382	195	31	187	37	44	195	101	114	597	973	115
si:ch73-191k20.4	NA	17	47	50	31	13	52	47	129	129	81	47	22
LOC103911865	NA	0	0	1	0	0	0	0	1	0	0	1	0
tlr2	NA	10	11	1	9	5	6	11	12	19	17	26	4
prkcba	NA	2	2	0	5	1	2	2	5	4	11	11	3
cacng3a	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-14k19.8	NA	19	4	8	3	0	0	4	14	8	7	57	5
ndufab1a	NA	307	30	41	124	67	0	30	85	1	303	794	184
palb2	NA	25	3	5	22	4	32	3	6	92	47	79	19
LOC110439775	NA	0	0	0	0	1	0	0	2	0	1	1	2
zgc:152698	NA	8	0	1	3	0	0	0	0	3	11	13	1
plk1	NA	0	0	0	0	0	0	0	0	0	0	0	0
ern2	NA	25	12	20	33	8	19	12	67	42	100	52	19
chtf18	NA	24	11	3	13	1	17	11	4	52	45	79	8
gng13a	NA	0	0	0	0	0	0	0	0	1	1	0	0
si:dkeyp-57d7.4	NA	2	0	8	3	1	3	0	10	3	4	3	3
zgc:136472	NA	862	117	803	504	402	667	117	2135	1680	1327	2261	1019
ubn1	NA	0	0	0	0	0	0	0	0	0	0	0	0
uncx4.1	NA	0	1	1	1	0	1	1	4	0	0	0	0
LOC101883884	NA	0	0	0	0	0	0	0	0	0	0	0	0
micall2b	NA	299	428	537	424	331	502	428	1393	1335	1145	733	971
si:ch73-12o23.1	NA	1744	1216	6126	2697	3614	5778	1216	15924	15163	6796	4489	9583
elfn1b	NA	4	2	52	1	1	0	2	110	4	4	0	0
ugt5b5	NA	73	38	145	141	117	387	38	314	882	480	191	301
ugt5b4	NA	181	95	504	329	422	1289	95	1258	3253	797	484	935
ugt5b3	NA	214	54	700	182	437	804	54	1896	2083	445	530	981
ugt5b2	NA	205	203	215	86	147	192	203	576	436	232	474	314
ugt5b1	NA	113	116	206	98	191	173	116	559	384	195	300	404
mad1l1	NA	195	163	67	132	72	60	163	206	191	368	464	187
pmm2	NA	169	298	38	145	22	79	298	104	219	386	453	63
zgc:56409	NA	78	78	53	111	50	46	78	163	153	298	259	110
rgs11	NA	45	7	11	16	9	12	7	17	38	54	118	37
tmem8a	NA	449	397	287	761	151	298	397	742	759	1996	1191	392
LOC110439781	NA	0	1	0	0	1	0	1	1	3	2	2	2
pdia2	NA	1618	629	551	1210	1988	454	629	1416	1254	3039	4253	5022
si:dkeyp-75b4.8	NA	0	0	0	0	0	0	0	0	0	1	0	0
LOC101884154	NA	0	0	0	1	0	0	0	0	0	1	0	0
LOC101884122	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkeyp-75b4.9	NA	75	11	38	56	44	84	11	79	203	123	202	121
si:dkeyp-75b4.10	NA	1052	195	692	818	225	1005	195	1774	2542	2127	2768	563
trim2b	NA	9	25	8	20	8	1	25	11	5	50	17	11
rnf175	NA	307	155	149	198	100	122	155	359	312	618	730	293
fgb	NA	6260	29544	2	16178	20	28	29544	14	71	42390	16399	33
LOC100536670	NA	5	48	0	18	0	0	48	0	0	40	7	0
fga	NA	6981	39282	6	20840	9	21	39282	13	64	57025	19379	31
lratb	NA	240	109	154	190	216	230	109	385	626	573	613	525
lratb.2	NA	0	3	0	0	0	1	3	0	0	0	1	0
rbm46	NA	0	0	0	0	0	0	0	0	0	0	0	0
npy2rl	NA	27	16	18	28	25	25	16	32	34	63	65	78
eif3f	NA	3561	3107	5559	3463	5812	3837	3107	15070	10565	8758	9277	15026
zgc:77880	NA	28	49	10	24	20	11	49	51	29	93	82	50
tmem55bb	NA	18	10	11	18	1	5	10	23	28	48	41	12
LOC557811	NA	0	0	0	0	0	0	0	0	0	0	0	0
dachb	NA	8	5	1	1	0	1	5	3	0	3	5	0
tnrc5	NA	2	2	3	1	1	0	2	3	2	0	0	1
trpc5a	NA	0	0	0	0	0	0	0	0	0	0	0	0
zgc:174945	NA	4	13	1	0	1	0	13	13	3	7	12	3
si:dkey-31e10.1	NA	1	4	0	0	0	0	4	0	0	0	0	0
si:dkey-31e10.5	NA	80	319	19	73	4	8	319	26	8	139	194	10
si:dkey-31e10.6p	NA	23	120	9	21	8	4	120	22	17	77	63	12
zgc:103678	NA	292	146	97	276	83	69	146	309	197	810	823	217
atp1b1b	NA	7	5	10	16	9	5	5	17	11	53	15	37
LOC100334711	NA	1	0	0	0	0	0	0	0	0	1	1	0
si:ch73-222h13.1	NA	1	1	0	1	0	0	1	2	2	3	9	2
crfb15	NA	55	68	27	76	41	26	68	67	82	188	156	96
dmd	NA	161	97	72	121	63	51	97	153	117	361	346	173
casc5	NA	49	50	0	24	0	0	50	1	0	56	136	4
knstrn	NA	146	64	2	46	2	10	64	2	22	136	379	7
sdk1b	NA	1	2	1	0	2	1	2	5	2	2	2	3
si:dkey-26i13.7	NA	1	0	0	0	0	0	0	1	0	0	0	0
si:dkey-26i13.6	NA	1	2	0	0	0	1	2	0	2	3	3	1
si:dkey-26i13.5	NA	0	11	0	0	0	0	11	0	0	0	0	0
si:dkey-26i13.3	NA	0	12	3	0	1	3	12	0	6	3	2	1
si:dkey-26i13.4	NA	8	0	10	3	0	2	0	24	6	5	11	1
LOC797518	NA	28	160	63	60	28	0	160	158	0	137	116	59
brat1	NA	193	110	105	154	109	92	110	232	267	398	480	256
si:dkey-26i13.8	NA	0	1	0	0	0	0	1	4	0	1	0	1
chst12b	NA	0	0	0	0	0	0	0	0	0	0	0	0
zmp:0000001069	NA	0	0	0	0	0	0	0	0	0	0	1	0
ttyh3b	NA	7	17	8	54	19	2	17	20	8	147	27	67
iqce	NA	72	37	51	78	43	34	37	114	121	210	170	102
snx8b	NA	7	1	15	2	13	25	1	46	56	9	14	19
grk4	NA	104	250	121	107	122	152	250	345	359	301	259	310
tspan5b	NA	55	329	62	107	58	65	329	161	166	262	156	151
slc24a2	NA	2	3	0	2	3	9	3	1	34	12	6	3
saraf	NA	395	411	266	498	261	249	411	747	740	1236	1217	746
pla2g12a	NA	511	242	332	633	445	551	242	836	1529	1550	1308	1134
LOC110439783	NA	0	0	0	0	0	0	0	0	0	0	1	0
xpa	NA	53	73	36	59	14	53	73	88	97	155	149	49
mtp	NA	3215	1019	3688	1990	4083	4889	1019	9998	13388	5078	8430	10411
spink4	NA	315	129	407	174	972	86	129	1172	255	404	802	2551
b4galt1	NA	48	53	18	46	47	27	53	74	49	122	98	112
stra6l	NA	2340	901	1282	1896	1532	1746	901	3400	4428	4934	6193	3696
tdrd7a	NA	0	0	0	0	0	0	0	0	0	2	1	0
tmod1	NA	53	14	28	40	33	13	14	81	65	97	130	79
cplx2l	NA	21	24	7	12	8	8	24	21	15	55	32	20
gne	NA	139	185	71	196	101	108	185	211	310	515	399	243
nansa	NA	309	219	196	263	181	253	219	483	622	710	775	453
clta	NA	119	131	115	186	36	141	131	255	339	455	609	244
sclt1	NA	0	0	1	0	3	0	0	0	2	2	3	0
zgc:77739	NA	113	18	131	71	108	203	18	70	106	53	60	48
LOC103911926	NA	0	1	0	0	0	1	1	0	0	0	0	0
pcdh10a	NA	55	31	38	32	27	34	31	94	77	92	152	72
si:dkeyp-7b3.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkeyp-106c3.2	NA	0	0	0	0	0	0	0	0	2	0	0	1
pcdh18a	NA	56	91	48	22	80	61	91	136	158	63	131	225
LOC101886760	NA	1	0	1	1	0	0	0	1	0	0	1	1
LOC101886790	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101886839	NA	1	0	3	2	0	13	0	11	43	8	3	1
noctb	NA	0	0	0	0	0	0	0	0	0	0	0	0
elf2b	NA	15	26	18	12	10	19	26	50	36	46	47	46
mgarp	NA	0	0	2	1	1	1	0	3	1	2	3	2
hpf1	NA	35	16	31	37	18	62	16	81	145	108	78	48
ank2a	NA	4	19	14	10	30	17	19	40	36	43	20	85
LOC101887098	NA	0	0	0	1	0	0	0	0	0	0	0	0
camk2d2	NA	13	4	9	19	15	7	4	28	30	51	42	22
cxcl8a	NA	120	2444	64	254	52	36	2444	166	109	584	363	137
pde5aa	NA	18	68	19	20	37	15	68	24	46	44	42	73
ppp2r2ca	NA	2	2	26	5	27	12	2	61	26	4	4	39
wfs1a	NA	1	1	2	0	1	0	1	0	0	0	1	0
crmp1	NA	0	1	4	1	7	0	1	21	5	8	4	8
LOC567498	NA	0	4	0	0	0	2	4	3	4	0	1	1
fip1l1b	NA	566	533	324	491	345	302	533	919	900	1367	1640	954
LOC553528	NA	35	18	29	25	14	27	18	59	79	76	74	58
chic2	NA	345	361	221	330	216	238	361	613	622	806	932	510
slc34a2aas	NA	0	1	2	1	5	3	1	5	7	5	1	8
slc34a2a	NA	3648	1532	11377	1871	26158	23154	1532	30260	61421	4798	9595	66438
rbpja	NA	184	322	133	186	394	166	322	405	418	516	542	978
stim2a	NA	0	3	1	1	1	0	3	2	4	7	7	5
LOC101882365	NA	4	12	0	3	2	4	12	4	9	8	6	8
si:dkey-194g4.1	NA	2	3	3	2	2	1	3	6	4	8	11	10
LOC100004921	NA	0	0	1	0	0	0	0	0	0	0	0	0
LOC110439785	NA	0	0	0	1	0	0	0	0	0	0	0	0
LOC100004978	NA	0	0	3	1	1	0	0	0	3	1	0	3
LOC110437782	NA	31	26	13	28	32	40	26	30	103	52	71	67
LOC100329816	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100332745	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101884963	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100005071	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110438559	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108189345	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108189470	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108189376	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110438560	NA	0	1	0	0	0	0	1	0	0	0	0	0
LOC100330143	NA	0	0	0	1	0	1	0	0	0	2	0	1
LOC108185170	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100537170	NA	0	0	1	0	0	0	0	0	0	0	0	0
LOC100330009	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101886102	NA	0	0	0	0	1	0	0	0	1	0	1	2
LOC100330441	NA	0	0	0	1	0	0	0	1	0	1	0	0
LOC110438568	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103911961	NA	0	0	0	0	0	0	0	0	0	0	0	0
pcdh7a	NA	69	55	47	145	129	19	55	104	56	360	149	288
itln1	NA	1179	120	473	1191	151	946	120	1263	2420	3035	3017	356
hgsnat	NA	217	315	130	235	88	131	315	394	339	650	579	217
pi4k2b	NA	403	849	580	366	532	457	849	1420	1082	890	1079	1333
dlc1	NA	130	646	86	233	178	170	646	238	436	655	354	496
sgcz	NA	0	0	0	0	0	0	0	1	0	0	0	0
tusc3	NA	35	33	9	27	13	6	33	37	31	116	97	37
fgf20a	NA	0	0	0	0	0	0	0	0	0	0	0	0
micu3a	NA	0	0	0	0	0	1	0	1	2	3	3	5
LOC794952	NA	47	29	7	32	2	3	29	15	18	70	98	17
vps37a	NA	47	165	96	111	69	29	165	226	90	334	151	182
LOC110439786	NA	1	4	2	4	2	0	4	4	1	4	1	5
mtmr7b	NA	0	3	1	5	4	0	3	9	1	9	2	6
mtus1b	NA	38	31	128	42	185	34	31	335	81	89	82	441
pcm1	NA	175	117	75	122	81	79	117	222	238	321	351	184
asah1b	NA	964	1779	377	1196	330	469	1779	1088	1303	3346	2642	784
LOC103912018	NA	0	0	0	0	0	1	0	0	1	0	0	0
LOC110439707	NA	0	0	0	0	0	0	0	0	0	0	0	0
frg1	NA	289	258	147	251	135	155	258	394	437	742	835	356
fat1a	NA	22	24	21	35	25	23	24	48	53	73	56	57
casp3a	NA	11	5	5	7	4	3	5	11	5	5	8	4
acsl1a	NA	0	1	0	0	0	1	1	0	0	0	0	1
helt	NA	0	0	0	1	0	3	0	0	4	2	2	1
si:ch211-197n1.2	NA	1	0	1	0	0	0	0	2	1	0	1	1
slc25a4	NA	0	0	0	0	0	0	0	0	0	0	0	1
cfap97	NA	11	15	10	17	7	3	15	20	13	25	34	12
ankrd37	NA	7	11	4	8	1	3	11	7	10	25	7	0
ufsp2	NA	93	151	75	155	16	65	151	169	160	371	269	27
si:dkey-256e7.8	NA	1	1	2	4	0	0	1	5	0	4	1	1
pdlim3a	NA	29	2	20	9	23	10	2	45	34	50	113	68
sorbs2a	NA	7	11	6	17	10	8	11	21	14	17	18	29
tlr3	NA	0	0	0	0	0	0	0	0	0	0	0	0
cyp4v8	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101885541	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101885801	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101885905	NA	0	0	0	0	1	0	0	0	0	0	0	1
LOC101885961	NA	0	1	0	0	0	0	1	0	0	0	0	0
mtnr1aa	NA	0	0	0	0	0	0	0	0	0	0	0	0
klhl5	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-192k22.2	NA	7	75	14	10	13	18	75	22	31	20	19	26
fam114a1	NA	72	78	74	71	26	60	78	176	120	194	166	59
trnap-agg	NA	0	0	0	0	0	0	0	0	0	0	0	0
klf3	NA	76	72	73	89	136	91	72	218	252	226	227	248
tbc1d1	NA	9	26	7	7	5	3	26	11	5	15	17	9
pgm2	NA	153	379	95	151	113	148	379	207	409	433	385	251
si:dkey-167i21.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
slc25a51a	NA	0	0	1	1	1	0	0	1	0	0	1	1
LOC100535985	NA	0	0	0	0	1	0	0	0	1	0	0	0
zgc:195282	NA	65	105	37	52	65	84	105	134	230	132	151	174
rnf38	NA	207	496	168	211	95	144	496	453	387	608	552	270
LOC101886347	NA	2	2	1	0	1	2	2	9	3	0	0	1
limch1a	NA	11	16	10	8	16	7	16	18	19	13	24	38
phox2ba	NA	1	1	0	3	0	0	1	0	1	4	0	0
exosc9	NA	148	146	68	129	88	82	146	179	180	351	360	207
trnai-aau	NA	0	0	0	0	0	0	0	0	0	0	0	0
ptpn9b	NA	139	234	123	135	135	108	234	335	299	424	351	353
ptprdb	NA	97	209	144	79	176	93	209	327	264	216	254	395
LOC108190005	NA	0	0	0	0	0	0	0	0	0	0	0	1
si:dkeyp-118a3.2	NA	0	1	0	0	0	0	1	0	0	0	0	0
tyrp1b	NA	0	1	0	0	0	0	1	3	1	2	6	2
rbm47	NA	4125	3573	3292	4841	3064	4025	3573	8459	10658	12282	10384	7516
lap3	NA	227	265	97	232	142	157	265	245	440	620	571	403
clockb	NA	153	193	92	226	93	112	193	279	281	559	403	249
kitb	NA	0	0	0	0	0	0	0	0	0	0	0	0
clrn2	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-245p14.4	NA	0	0	0	0	0	0	0	0	0	0	0	0
smc2	NA	7	0	0	1	0	0	0	0	0	1	2	0
kiaa0368	NA	57	44	23	36	35	19	44	38	44	110	134	71
fbxo10	NA	0	0	0	0	0	0	0	0	0	0	0	0
polr1e	NA	3	1	0	1	0	0	1	0	0	1	1	0
tmem192	NA	0	1	4	2	1	1	1	1	3	3	3	1
apela	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100536104	NA	6	4	21	13	10	9	4	21	15	20	25	20
march1	NA	0	0	0	0	0	0	0	0	0	0	0	0
tma16	NA	2	1	1	1	1	2	1	4	4	0	12	4
si:ch211-42i9.8	NA	1	51	4	10	3	2	51	9	7	18	4	12
zbtb5	NA	0	0	2	1	0	1	0	2	0	1	2	2
grhprb	NA	13	49	0	103	1	1	49	0	0	209	40	2
si:dkey-82j4.2	NA	11	12	4	13	4	6	12	14	18	42	28	11
apbb2b	NA	8	24	4	15	8	10	24	16	16	36	30	35
LOC101882573	NA	0	1	1	0	0	0	1	0	1	3	1	1
mettl14	NA	11	5	5	7	4	6	5	21	12	18	29	13
prss12	NA	0	3	1	0	0	0	3	4	0	0	0	0
ndst3	NA	0	1	1	1	0	0	1	0	1	0	2	0
ugt8	NA	198	244	130	171	84	156	244	298	338	392	448	193
spock3	NA	3	9	0	0	0	4	9	2	1	2	0	0
