isoform	gene	length
transcript:AT1G01225.1	AT1G01225	1077
transcript:AT1G01230.1	AT1G01230	876
transcript:AT1G01240.4	AT1G01240	1461
transcript:AT1G01240.1	AT1G01240	1497
transcript:AT1G01240.2	AT1G01240	1686
transcript:AT1G01240.3	AT1G01240	2122
transcript:AT1G01240.5	AT1G01240	1932
transcript:AT1G01250.1	AT1G01250	891
transcript:AT1G01260.3	AT1G01260	2679
transcript:AT1G01260.1	AT1G01260	2709
transcript:AT1G01260.2	AT1G01260	2378
transcript:AT1G01270.1	AT1G01270	72
transcript:AT1G01280.1	AT1G01280	1602
transcript:AT1G01290.1	AT1G01290	2021
transcript:AT1G01290.2	AT1G01290	1400
transcript:AT1G01300.1	AT1G01300	2062
transcript:AT1G01305.1	AT1G01305	617
transcript:AT1G01310.1	AT1G01310	977
transcript:AT1G01320.3	AT1G01320	6051
transcript:AT1G01320.2	AT1G01320	6049
transcript:AT1G01320.1	AT1G01320	6015
transcript:AT1G01335.1	AT1G01335	123
transcript:AT1G01340.2	AT1G01340	2550
transcript:AT1G01340.1	AT1G01340	2411
transcript:AT1G01350.1	AT1G01350	1434
transcript:AT1G01355.2	AT1G01355	783
transcript:AT1G01355.3	AT1G01355	758
transcript:AT1G01355.1	AT1G01355	799
transcript:AT1G01360.1	AT1G01360	1179
transcript:AT1G01370.1	AT1G01370	1376
transcript:AT1G01370.2	AT1G01370	1463
transcript:AT1G01370.3	AT1G01370	1085
transcript:AT1G01370.4	AT1G01370	980
transcript:AT1G01380.1	AT1G01380	750
transcript:AT1G01380.2	AT1G01380	854
transcript:AT1G01380.3	AT1G01380	557
transcript:AT1G01390.2	AT1G01390	1836
transcript:AT1G01390.1	AT1G01390	1789
transcript:AT1G01400.1	AT1G01400	1145
transcript:AT1G01410.1	AT1G01410	1086
transcript:AT1G01420.2	AT1G01420	1812
transcript:AT1G01420.1	AT1G01420	1520
transcript:AT1G01430.1	AT1G01430	2134
transcript:AT1G01440.1	AT1G01440	2830
transcript:AT1G01448.1	AT1G01448	2386
transcript:AT1G01448.2	AT1G01448	2274
transcript:AT1G01448.3	AT1G01448	1990
transcript:AT1G01450.1	AT1G01450	1413
transcript:AT1G01453.1	AT1G01453	1358
transcript:AT1G01453.2	AT1G01453	1225
transcript:AT1G01460.1	AT1G01460	1837
transcript:AT1G01470.1	AT1G01470	1348
transcript:AT1G01480.1	AT1G01480	2002
transcript:AT1G01480.2	AT1G01480	1735
transcript:AT1G01490.3	AT1G01490	1907
transcript:AT1G01490.4	AT1G01490	1698
transcript:AT1G01490.1	AT1G01490	1562
transcript:AT1G01490.2	AT1G01490	1445
transcript:AT1G01500.1	AT1G01500	1773
transcript:AT1G01510.1	AT1G01510	2637
transcript:AT1G01520.1	AT1G01520	1349
transcript:AT1G01520.2	AT1G01520	1506
transcript:AT1G01520.3	AT1G01520	1429
transcript:AT1G01520.4	AT1G01520	1426
transcript:AT1G01520.5	AT1G01520	1361
transcript:AT1G01530.1	AT1G01530	758
transcript:AT1G01540.2	AT1G01540	2158
transcript:AT1G01540.1	AT1G01540	1908
transcript:AT1G01550.1	AT1G01550	1572
transcript:AT1G01550.2	AT1G01550	1595
transcript:AT1G01560.3	AT1G01560	1636
transcript:AT1G01560.2	AT1G01560	1595
transcript:AT1G01560.1	AT1G01560	1710
transcript:AT1G01560.4	AT1G01560	1625
transcript:AT1G01570.2	AT1G01570	1885
transcript:AT1G01570.1	AT1G01570	1437
transcript:AT1G01580.2	AT1G01580	2850
transcript:AT1G01580.1	AT1G01580	2635
transcript:AT1G01590.1	AT1G01590	2624
transcript:AT1G01600.1	AT1G01600	2323
transcript:AT1G01610.1	AT1G01610	1916
transcript:AT1G01620.2	AT1G01620	1279
transcript:AT1G01620.1	AT1G01620	1549
transcript:AT1G01630.1	AT1G01630	1479
transcript:AT1G01640.1	AT1G01640	1126
transcript:AT1G01640.2	AT1G01640	1106
transcript:AT1G01650.1	AT1G01650	2229
transcript:AT1G01650.2	AT1G01650	2500
transcript:AT1G01650.3	AT1G01650	2504
transcript:AT1G01650.4	AT1G01650	2220
transcript:at1g04027	AT1G04027	154
transcript:ENSRNA049757531-T1	ENSRNA049757531	154
transcript:AT1G01660.2	AT1G01660	2021
transcript:AT1G01660.1	AT1G01660	1707
transcript:AT1G01670.1	AT1G01670	1607
transcript:AT1G01670.2	AT1G01670	1352
transcript:AT1G01670.3	AT1G01670	989
transcript:AT1G01680.1	AT1G01680	1187
transcript:AT1G01690.2	AT1G01690	1855
transcript:AT1G01690.1	AT1G01690	1758
transcript:AT1G01690.3	AT1G01690	1695
transcript:AT1G01695.1	AT1G01695	1658
transcript:AT1G04033.1	AT1G04033	363
transcript:AT1G04037.1	AT1G04037	247
transcript:AT1G01700.1	AT1G01700	1839
transcript:AT1G01700.2	AT1G01700	1922
transcript:AT1G01700.3	AT1G01700	1563
transcript:AT1G01700.4	AT1G01700	1689
transcript:AT1G01700.5	AT1G01700	1664
transcript:AT1G01710.1	AT1G01710	1701
transcript:AT1G01715.1	AT1G01715	884
transcript:AT1G01715.2	AT1G01715	624
transcript:AT1G04043.1	AT1G04043	344
transcript:AT1G01720.1	AT1G01720	1653
transcript:AT1G01725.1	AT1G01725	537
transcript:AT1G04047.1	AT1G04047	451
transcript:AT1G01730.1	AT1G01730	1197
transcript:AT1G01740.1	AT1G01740	1648
transcript:AT1G01740.4	AT1G01740	1644
transcript:AT1G01740.5	AT1G01740	1624
transcript:AT1G01740.2	AT1G01740	1911
transcript:AT1G01740.3	AT1G01740	2045
transcript:AT1G01750.1	AT1G01750	947
transcript:AT1G01750.2	AT1G01750	721
transcript:AT1G04053.1	AT1G04053	578
transcript:AT1G01760.1	AT1G01760	1312
transcript:AT1G01760.2	AT1G01760	1541
transcript:AT1G01760.4	AT1G01760	1263
transcript:AT1G01760.3	AT1G01760	1414
transcript:AT1G04057.1	AT1G04057	187
transcript:AT1G01770.1	AT1G01770	2377
transcript:AT1G01780.1	AT1G01780	939
transcript:AT1G01790.1	AT1G01790	4259
transcript:AT1G01790.2	AT1G01790	4237
transcript:AT1G04063.1	AT1G04063	468
transcript:AT1G01800.1	AT1G01800	1236
transcript:AT1G01800.2	AT1G01800	1098
transcript:AT1G01810.1	AT1G01810	653
transcript:AT1G01820.1	AT1G01820	1262
transcript:AT1G01830.1	AT1G01830	2220
transcript:AT1G01830.3	AT1G01830	2298
transcript:AT1G01830.2	AT1G01830	2517
transcript:AT1G04067.1	AT1G04067	515
transcript:AT1G01840.1	AT1G01840	822
transcript:AT1G01860.1	AT1G01860	1373
transcript:AT1G01860.2	AT1G01860	1177
transcript:AT1G01860.3	AT1G01860	1163
transcript:AT1G01860.4	AT1G01860	1076
transcript:AT1G01860.5	AT1G01860	753
transcript:AT1G04073.1	AT1G04073	233
transcript:AT1G01870.1	AT1G01870	73
transcript:ENSRNA049492452-T1	ENSRNA049492452	73
transcript:AT1G01880.3	AT1G01880	2134
transcript:AT1G01880.2	AT1G01880	1993
transcript:AT1G01880.1	AT1G01880	2107
transcript:AT1G01880.4	AT1G01880	1634
transcript:AT1G01890.1	AT1G01890	73
transcript:AT1G01900.1	AT1G01900	2607
transcript:AT1G04077.1	AT1G04077	1057
transcript:AT1G01910.4	AT1G01910	1591
transcript:AT1G01910.2	AT1G01910	1762
transcript:AT1G01910.3	AT1G01910	1519
transcript:AT1G01910.1	AT1G01910	1388
transcript:AT1G01910.5	AT1G01910	1374
transcript:AT1G04083.1	AT1G04083	275
transcript:AT1G01920.2	AT1G01920	2025
transcript:AT1G01920.3	AT1G01920	2197
transcript:AT1G01920.4	AT1G01920	1907
transcript:AT1G01920.5	AT1G01920	1953
transcript:AT1G01920.1	AT1G01920	1873
transcript:AT1G01930.1	AT1G01930	2101
transcript:AT1G01940.1	AT1G01940	877
transcript:AT1G01950.1	AT1G01950	3058
transcript:AT1G01950.4	AT1G01950	2921
transcript:AT1G01950.2	AT1G01950	2944
transcript:AT1G01950.3	AT1G01950	3058
transcript:AT1G01960.1	AT1G01960	5825
transcript:AT1G01970.1	AT1G01970	1710
transcript:AT1G01980.1	AT1G01980	1933
transcript:AT1G01990.1	AT1G01990	1483
transcript:AT1G02000.1	AT1G02000	2088
transcript:AT1G02010.1	AT1G02010	2803
transcript:AT1G02010.3	AT1G02010	2705
transcript:AT1G02010.4	AT1G02010	2640
transcript:AT1G02010.5	AT1G02010	2634
transcript:AT1G02010.2	AT1G02010	2161
transcript:AT1G02010.6	AT1G02010	1961
transcript:AT1G02020.3	AT1G02020	2226
transcript:AT1G02020.1	AT1G02020	2428
transcript:AT1G02020.2	AT1G02020	2479
transcript:AT1G02030.1	AT1G02030	2135
transcript:AT1G02040.1	AT1G02040	1173
transcript:AT1G02050.1	AT1G02050	1540
transcript:AT1G02060.1	AT1G02060	2225
transcript:AT1G02065.2	AT1G02065	2063
transcript:AT1G02065.1	AT1G02065	1712
transcript:AT1G02067.1	AT1G02067	222
transcript:AT1G02070.1	AT1G02070	789
transcript:AT1G02080.1	AT1G02080	7461
transcript:AT1G02080.2	AT1G02080	7572
transcript:AT1G02080.3	AT1G02080	7495
transcript:AT1G02090.1	AT1G02090	1225
transcript:AT1G02090.2	AT1G02090	1207
transcript:AT1G02090.3	AT1G02090	1816
transcript:AT1G02100.1	AT1G02100	1431
transcript:AT1G02100.2	AT1G02100	1326
transcript:AT1G02100.3	AT1G02100	1335
transcript:AT1G02110.1	AT1G02110	2314
transcript:AT1G02120.1	AT1G02120	2150
transcript:AT1G02120.2	AT1G02120	2251
transcript:AT1G02120.3	AT1G02120	2145
transcript:AT1G02130.1	AT1G02130	1110
transcript:AT1G04087.1	AT1G04087	209
transcript:AT1G02140.1	AT1G02140	875
transcript:AT1G02145.1	AT1G02145	1643
transcript:AT1G02145.2	AT1G02145	1361
transcript:AT1G02145.3	AT1G02145	1655
transcript:AT1G02145.4	AT1G02145	1724
transcript:AT1G02150.1	AT1G02150	1979
transcript:AT1G02160.1	AT1G02160	524
transcript:AT1G02160.2	AT1G02160	569
transcript:AT1G02170.1	AT1G02170	1451
transcript:AT1G02180.1	AT1G02180	922
transcript:AT1G02190.1	AT1G02190	2195
transcript:AT1G02190.2	AT1G02190	2161
transcript:AT1G02205.2	AT1G02205	2705
transcript:AT1G02205.4	AT1G02205	2498
transcript:AT1G02205.3	AT1G02205	2067
transcript:AT1G02205.1	AT1G02205	2357
transcript:AT1G02205.5	AT1G02205	2976
transcript:AT1G04093.1	AT1G04093	499
transcript:AT1G02210.1	AT1G02210	264
transcript:AT1G02220.1	AT1G02220	1590
transcript:AT1G02230.1	AT1G02230	1436
transcript:AT1G02250.1	AT1G02250	1180
transcript:AT1G02260.1	AT1G02260	2482
transcript:AT1G02260.2	AT1G02260	2579
transcript:AT1G02270.1	AT1G02270	1737
transcript:AT1G02270.2	AT1G02270	1777
transcript:AT1G02280.1	AT1G02280	1214
transcript:AT1G02280.2	AT1G02280	1170
transcript:AT1G02290.1	AT1G02290	1767
transcript:AT1G02300.1	AT1G02300	1464
transcript:AT1G02305.1	AT1G02305	1407
transcript:AT1G04097.1	AT1G04097	319
transcript:AT1G02310.1	AT1G02310	1390
transcript:AT1G02310.2	AT1G02310	1415
transcript:AT1G04103.1	AT1G04103	862
transcript:AT1G04103.2	AT1G04103	463
transcript:AT1G02320.1	AT1G02320	147
transcript:AT1G02330.1	AT1G02330	1193
transcript:AT1G02335.1	AT1G02335	990
transcript:AT1G02340.1	AT1G02340	1391
transcript:AT1G02340.2	AT1G02340	1466
transcript:AT1G02350.1	AT1G02350	423
transcript:AT1G02360.1	AT1G02360	1118
transcript:AT1G02360.2	AT1G02360	1151
transcript:AT1G02360.3	AT1G02360	1206
transcript:AT1G02370.1	AT1G02370	1986
transcript:AT1G02380.1	AT1G02380	1317
transcript:AT1G02390.1	AT1G02390	2074
transcript:AT1G02400.1	AT1G02400	1414
transcript:AT1G02400.2	AT1G02400	1479
transcript:AT1G02405.1	AT1G02405	754
transcript:AT1G02410.1	AT1G02410	1278
transcript:AT1G02410.3	AT1G02410	1284
transcript:AT1G02410.2	AT1G02410	1456
transcript:AT1G02420.1	AT1G02420	1520
transcript:AT1G04117.1	AT1G04117	1541
transcript:AT1G02430.1	AT1G02430	968
transcript:AT1G02430.2	AT1G02430	762
transcript:AT1G04123.1	AT1G04123	304
transcript:AT1G02440.2	AT1G02440	756
transcript:AT1G02440.1	AT1G02440	649
transcript:AT1G02450.1	AT1G02450	623
transcript:AT1G02460.1	AT1G02460	2079
transcript:AT1G02470.1	AT1G02470	962
transcript:AT1G02470.2	AT1G02470	762
transcript:AT1G02475.1	AT1G02475	1091
transcript:AT1G02480.1	AT1G02480	73
transcript:ENSRNA049492453-T1	ENSRNA049492453	73
transcript:AT1G02490.1	AT1G02490	298
transcript:AT1G02500.1	AT1G02500	1748
transcript:AT1G02500.2	AT1G02500	1530
transcript:AT1G02510.1	AT1G02510	1086
transcript:AT1G02520.1	AT1G02520	4310
transcript:AT1G02520.2	AT1G02520	4306
transcript:AT1G02520.3	AT1G02520	4052
transcript:AT1G02530.1	AT1G02530	4114
transcript:AT1G02530.2	AT1G02530	4221
transcript:AT1G02540.1	AT1G02540	873
transcript:AT1G02550.1	AT1G02550	729
transcript:AT1G02560.1	AT1G02560	1479
transcript:AT1G02570.1	AT1G02570	1010
transcript:AT1G02575.1	AT1G02575	1047
transcript:AT1G02580.2	AT1G02580	1819
transcript:AT1G02580.1	AT1G02580	2341
transcript:AT1G04127.1	AT1G04127	241
transcript:AT1G02590.1	AT1G02590	270
transcript:AT1G02600.1	AT1G02600	72
transcript:AT1G02610.1	AT1G02610	1126
transcript:AT1G02610.2	AT1G02610	1259
transcript:AT1G02610.3	AT1G02610	831
transcript:AT1G02620.1	AT1G02620	1383
transcript:AT1G04133.1	AT1G04133	422
transcript:AT1G04137.1	AT1G04137	517
transcript:AT1G02630.2	AT1G02630	1605
transcript:AT1G02630.1	AT1G02630	1783
transcript:AT1G02640.1	AT1G02640	2773
transcript:AT1G02650.1	AT1G02650	1824
transcript:AT1G02650.2	AT1G02650	1916
transcript:AT1G02660.1	AT1G02660	2842
transcript:AT1G02670.1	AT1G02670	2161
transcript:AT1G02670.4	AT1G02670	1928
transcript:AT1G02670.2	AT1G02670	2653
transcript:AT1G02670.3	AT1G02670	2571
transcript:AT1G02670.5	AT1G02670	2393
transcript:AT1G02670.6	AT1G02670	2311
transcript:AT1G02670.7	AT1G02670	2321
transcript:AT1G02680.1	AT1G02680	907
transcript:AT1G04143.1	AT1G04143	390
transcript:AT1G02690.1	AT1G02690	2171
transcript:AT1G02690.2	AT1G02690	1940
transcript:AT1G02700.1	AT1G02700	1356
transcript:AT1G02705.1	AT1G02705	426
transcript:AT1G02710.1	AT1G02710	291
transcript:AT1G02720.1	AT1G02720	1947
transcript:AT1G02720.2	AT1G02720	2062
transcript:AT1G02730.1	AT1G02730	3925
transcript:AT1G02740.1	AT1G02740	1566
transcript:AT1G02750.1	AT1G02750	1103
transcript:AT1G02750.2	AT1G02750	828
transcript:AT1G02760.1	AT1G02760	73
transcript:AT1G02770.1	AT1G02770	1233
transcript:AT1G02780.1	AT1G02780	1109
transcript:AT1G02790.1	AT1G02790	1686
transcript:AT1G02800.1	AT1G02800	1823
transcript:AT1G02810.1	AT1G02810	2132
transcript:AT1G02813.1	AT1G02813	652
transcript:AT1G02816.1	AT1G02816	1602
transcript:AT1G02820.1	AT1G02820	816
transcript:AT1G02830.1	AT1G02830	445
transcript:AT1G02840.1	AT1G02840	1517
transcript:AT1G02840.4	AT1G02840	1855
transcript:AT1G02840.3	AT1G02840	1366
transcript:AT1G02840.5	AT1G02840	1748
transcript:AT1G02840.2	AT1G02840	1555
transcript:AT1G02850.1	AT1G02850	1943
transcript:AT1G02850.2	AT1G02850	2024
transcript:AT1G02850.3	AT1G02850	2193
transcript:AT1G02850.5	AT1G02850	2093
transcript:AT1G02850.4	AT1G02850	1804
transcript:AT1G02860.3	AT1G02860	1065
transcript:AT1G02860.1	AT1G02860	1517
transcript:AT1G02860.2	AT1G02860	1511
transcript:AT1G04147.1	AT1G04147	278
transcript:AT1G02870.1	AT1G02870	847
transcript:AT1G04153.1	AT1G04153	460
transcript:AT1G02880.5	AT1G02880	1638
transcript:AT1G02880.1	AT1G02880	1361
transcript:AT1G02880.4	AT1G02880	1167
transcript:AT1G02880.6	AT1G02880	1194
transcript:AT1G02880.3	AT1G02880	1255
transcript:AT1G02880.2	AT1G02880	1406
transcript:AT1G02890.1	AT1G02890	4233
transcript:AT1G02890.2	AT1G02890	4047
transcript:AT1G02900.1	AT1G02900	854
transcript:AT1G02910.2	AT1G02910	1690
transcript:AT1G02910.1	AT1G02910	1634
transcript:AT1G02920.1	AT1G02920	1213
transcript:AT1G02930.1	AT1G02930	1186
transcript:AT1G02930.2	AT1G02930	866
transcript:AT1G02940.2	AT1G02940	975
transcript:AT1G02940.3	AT1G02940	930
transcript:AT1G02940.1	AT1G02940	829
transcript:AT1G02940.4	AT1G02940	791
transcript:AT1G02950.5	AT1G02950	972
transcript:AT1G02950.1	AT1G02950	940
transcript:AT1G02950.3	AT1G02950	904
transcript:AT1G02950.4	AT1G02950	913
transcript:AT1G02950.2	AT1G02950	910
transcript:AT1G02952.1	AT1G02952	422
transcript:AT1G02952.2	AT1G02952	256
transcript:AT1G02960.1	AT1G02960	1730
transcript:AT1G02960.2	AT1G02960	1757
transcript:AT1G02960.3	AT1G02960	1821
transcript:AT1G02960.4	AT1G02960	1924
transcript:AT1G02960.5	AT1G02960	1848
transcript:AT1G02960.6	AT1G02960	1833
transcript:AT1G02965.1	AT1G02965	489
transcript:AT1G02970.1	AT1G02970	1897
transcript:AT1G02980.1	AT1G02980	2444
transcript:AT1G02980.2	AT1G02980	2395
transcript:AT1G02990.4	AT1G02990	4602
transcript:AT1G02990.5	AT1G02990	4752
transcript:AT1G02990.2	AT1G02990	4499
transcript:AT1G02990.1	AT1G02990	4426
transcript:AT1G02990.3	AT1G02990	4379
transcript:AT1G02990.6	AT1G02990	4387
transcript:AT1G03000.1	AT1G03000	3295
transcript:AT1G03010.1	AT1G03010	2511
transcript:AT1G03010.2	AT1G03010	2234
transcript:AT1G03010.3	AT1G03010	2195
transcript:AT1G03020.1	AT1G03020	673
transcript:AT1G03030.1	AT1G03030	1458
transcript:AT1G03030.2	AT1G03030	1525
transcript:AT1G03040.1	AT1G03040	1573
transcript:AT1G03040.3	AT1G03040	1639
transcript:AT1G03040.2	AT1G03040	1440
transcript:AT1G03050.1	AT1G03050	2222
transcript:AT1G03055.1	AT1G03055	973
transcript:AT1G03055.2	AT1G03055	1081
transcript:AT1G03060.2	AT1G03060	11983
transcript:AT1G03060.3	AT1G03060	11892
transcript:AT1G03060.1	AT1G03060	11304
transcript:AT1G03060.4	AT1G03060	11483
transcript:AT1G03070.1	AT1G03070	1132
transcript:AT1G03070.2	AT1G03070	1165
transcript:AT1G03070.3	AT1G03070	1248
transcript:AT1G03080.2	AT1G03080	5954
transcript:AT1G03080.1	AT1G03080	6005
transcript:AT1G03080.3	AT1G03080	5860
transcript:AT1G03090.2	AT1G03090	2741
transcript:AT1G03090.1	AT1G03090	2547
transcript:AT1G04157.1	AT1G04157	225
transcript:AT1G03100.1	AT1G03100	2817
transcript:AT1G04163.1	AT1G04163	1424
transcript:AT1G03103.1	AT1G03103	640
transcript:AT1G03106.1	AT1G03106	934
transcript:AT1G03110.1	AT1G03110	1577
transcript:AT1G03120.1	AT1G03120	629
transcript:AT1G03120.2	AT1G03120	648
transcript:AT1G03130.1	AT1G03130	956
transcript:AT1G03140.1	AT1G03140	1553
transcript:AT1G03150.1	AT1G03150	809
transcript:AT1G04167.1	AT1G04167	216
transcript:AT1G03160.1	AT1G03160	2940
transcript:AT1G03160.3	AT1G03160	2905
transcript:AT1G03160.2	AT1G03160	2948
transcript:AT1G03160.4	AT1G03160	2806
transcript:AT1G03165.1	AT1G03165	228
transcript:AT1G04173.1	AT1G04173	204
transcript:AT1G03170.1	AT1G03170	2309
transcript:AT1G03180.1	AT1G03180	1166
transcript:AT1G03180.3	AT1G03180	1577
transcript:AT1G03180.2	AT1G03180	1567
transcript:AT1G03180.4	AT1G03180	1136
transcript:AT1G03180.5	AT1G03180	1044
transcript:AT1G03180.6	AT1G03180	1079
transcript:AT1G03190.1	AT1G03190	2595
transcript:AT1G03190.2	AT1G03190	2676
transcript:AT1G04177.1	AT1G04177	303
transcript:AT1G03200.1	AT1G03200	436
transcript:AT1G03210.1	AT1G03210	1011
transcript:AT1G03210.2	AT1G03210	1095
transcript:AT1G03220.1	AT1G03220	1891
transcript:AT1G03230.1	AT1G03230	1870
transcript:AT1G03240.1	AT1G03240	547
transcript:AT1G03250.3	AT1G03250	1041
transcript:AT1G03250.1	AT1G03250	1242
transcript:AT1G03250.4	AT1G03250	1310
transcript:AT1G03250.2	AT1G03250	1190
transcript:AT1G03260.1	AT1G03260	1443
transcript:AT1G03270.1	AT1G03270	1765
transcript:AT1G03280.1	AT1G03280	1966
transcript:AT1G03280.2	AT1G03280	2312
transcript:AT1G03280.3	AT1G03280	1948
transcript:AT1G03290.2	AT1G03290	4542
transcript:AT1G03290.3	AT1G03290	2503
transcript:AT1G03290.4	AT1G03290	4443
transcript:AT1G03290.5	AT1G03290	2058
transcript:AT1G03290.6	AT1G03290	1992
transcript:AT1G03290.1	AT1G03290	4386
transcript:AT1G03300.1	AT1G03300	2013
transcript:AT1G03310.1	AT1G03310	3053
transcript:AT1G03310.2	AT1G03310	3076
transcript:AT1G03320.1	AT1G03320	701
transcript:AT1G03325.1	AT1G03325	126
transcript:AT1G03330.1	AT1G03330	775
transcript:AT1G03340.1	AT1G03340	1507
transcript:AT1G03350.1	AT1G03350	1829
transcript:AT1G03360.1	AT1G03360	1325
transcript:AT1G03365.1	AT1G03365	2892
transcript:AT1G03365.2	AT1G03365	3277
transcript:AT1G03370.1	AT1G03370	3896
transcript:AT1G03370.2	AT1G03370	4193
transcript:AT1G03380.1	AT1G03380	4183
transcript:AT1G03390.1	AT1G03390	1386
transcript:AT1G03395.1	AT1G03395	229
transcript:AT1G03400.1	AT1G03400	1385
transcript:AT1G03400.2	AT1G03400	1402
transcript:AT1G03410.2	AT1G03410	1432
transcript:AT1G03410.1	AT1G03410	2652
transcript:AT1G04183.1	AT1G04183	2007
transcript:AT1G03430.1	AT1G03430	1226
transcript:AT1G03430.2	AT1G03430	1334
transcript:AT1G03440.1	AT1G03440	2147
transcript:AT1G03445.1	AT1G03445	2727
transcript:AT1G03445.2	AT1G03445	2523
transcript:AT1G03457.3	AT1G03457	1549
transcript:AT1G03457.1	AT1G03457	1990
transcript:AT1G03457.2	AT1G03457	2017
transcript:AT1G03470.2	AT1G03470	1226
transcript:AT1G03470.1	AT1G03470	1359
transcript:AT1G03470.3	AT1G03470	1247
transcript:AT1G03470.4	AT1G03470	1247
transcript:AT1G03475.1	AT1G03475	1743
transcript:AT1G03490.1	AT1G03490	846
transcript:AT1G03495.1	AT1G03495	1311
transcript:AT1G04187.1	AT1G04187	134
transcript:AT1G04193.1	AT1G04193	117
transcript:AT1G03502.1	AT1G03502	114
transcript:ENSRNA049495703-T1	ENSRNA049495703	95
transcript:ENSRNA049495699-T1	ENSRNA049495699	90
transcript:AT1G03506.1	AT1G03506	87
transcript:ENSRNA049495696-T1	ENSRNA049495696	144
transcript:AT1G04197.1	AT1G04197	145
transcript:AT1G03510.1	AT1G03510	1470
transcript:AT1G03515.1	AT1G03515	72
transcript:ENSRNA049492454-T1	ENSRNA049492454	72
transcript:AT1G03520.1	AT1G03520	2137
transcript:AT1G03520.2	AT1G03520	1404
transcript:AT1G03530.1	AT1G03530	2921
transcript:AT1G03540.1	AT1G03540	1929
transcript:AT1G03550.2	AT1G03550	903
transcript:AT1G03550.3	AT1G03550	903
transcript:AT1G03550.1	AT1G03550	1258
transcript:AT1G03550.4	AT1G03550	807
transcript:AT1G03550.5	AT1G03550	747
transcript:AT1G03550.6	AT1G03550	654
transcript:AT1G03550.7	AT1G03550	609
transcript:AT1G03545.1	AT1G03545	1223
transcript:AT1G03545.2	AT1G03545	1810
transcript:AT1G03560.1	AT1G03560	2338
transcript:AT1G03570.1	AT1G03570	72
transcript:AT1G03590.1	AT1G03590	2219
transcript:AT1G03600.1	AT1G03600	1315
transcript:AT1G03610.1	AT1G03610	1897
transcript:AT1G03610.2	AT1G03610	1974
transcript:AT1G03620.1	AT1G03620	1764
