gene_id	gene_length
zgc:152698	938
plk1	8508
ern2	26665
chtf18	28163
gng13a	927
si:dkeyp-57d7.4	860
zgc:136472	15029
ubn1	7971
uncx4.1	3997
LOC101883884	1459
micall2b	26121
si:ch73-12o23.1	27771
elfn1b	154344
ugt5b5	3428
ugt5b4	21700
ugt5b3	5867
ugt5b2	1654
ugt5b1	7832
mad1l1	117721
pmm2	6227
zgc:56409	12051
rgs11	27693
tmem8a	24675
LOC110439781	10432
pdia2	10280
si:dkeyp-75b4.8	15939
LOC101884154	5240
LOC101884122	3334
si:dkeyp-75b4.9	4495
si:dkeyp-75b4.10	5577
trim2b	30096
rnf175	11070
fgb	7624
LOC100536670	1561
fga	5422
lratb	38697
lratb.2	5442
rbm46	10243
npy2rl	15200
eif3f	7017
zgc:77880	9554
tmem55bb	6936
LOC557811	19194
dachb	69953
tnrc5	10896
trpc5a	134281
zgc:174945	3145
si:dkey-31e10.1	4850
si:dkey-31e10.5	4178
si:dkey-31e10.6p	11399
zgc:103678	12748
atp1b1b	18991
LOC100334711	17074
si:ch73-222h13.1	22965
crfb15	12229
dmd	251096
casc5	20480
knstrn	9758
sdk1b	384828
si:dkey-26i13.7	1314
si:dkey-26i13.6	3741
si:dkey-26i13.5	1462
si:dkey-26i13.3	1568
si:dkey-26i13.4	2676
LOC797518	10216
brat1	18718
eif3bb	18673
si:dkey-26i13.8	22085
chst12b	2918
zmp:0000001069	3295
ttyh3b	64740
iqce	24158
snx8b	18892
grk4	70793
tspan5b	17284
slc24a2	31971
saraf	10320
pla2g12a	3461
LOC110439783	2188
xpa	29087
mtp	18861
spink4	3562
b4galt1	19680
stra6l	18762
tdrd7a	32394
tmod1	30850
cplx2l	15798
gne	39282
nansa	8924
clta	13713
sclt1	29707
zgc:77739	3689
LOC103911926	3382
pcdh10a	34135
si:dkeyp-7b3.2	12529
si:dkeyp-106c3.2	1370
pcdh18a	10041
LOC101886760	3175
LOC101886790	1741
LOC101886839	4943
noctb	23071
elf2b	32280
mgarp	17122
hpf1	6336
ank2a	131094
LOC101887098	1814
camk2d2	71648
cxcl8a	981
pde5aa	26883
ppp2r2ca	23161
wfs1a	26003
crmp1	21395
LOC567498	2381
fip1l1b	20890
LOC553528	29043
chic2	10292
slc34a2aas	22380
slc34a2a	10461
rbpja	9357
stim2a	19086
LOC101882365	4303
si:dkey-194g4.1	7758
LOC100004921	6905
LOC110439785	511
LOC100004978	5583
LOC110437782	11431
LOC100329816	11596
LOC100332745	20240
LOC101884963	657
LOC100005071	16853
LOC110439784	31767
LOC110438559	1036
LOC108189345	23257
LOC108189470	782
LOC108189376	996
LOC110438560	3539
LOC100330143	7311
LOC108185170	2282
LOC100537170	3874
LOC100330009	7140
LOC101886102	89423
LOC100330441	2355
LOC110438568	1044
LOC103911961	3032
pcdh7a	65315
itln1	6899
hgsnat	27844
pi4k2b	26497
dlc1	244558
sgcz	173796
tusc3	146375
fgf20a	2063
micu3a	60065
LOC794952	1692
vps37a	17134
LOC110439786	1027
mtmr7b	23602
mtus1b	97726
pcm1	32845
asah1b	10711
LOC103912018	1150
LOC110439707	1642
frg1	13966
fat1a	150181
casp3a	8929
acsl1a	50308
helt	1653
si:ch211-197n1.2	57105
slc25a4	2325
cfap97	12229
ankrd37	3347
ufsp2	12227
si:dkey-256e7.8	1326
pdlim3a	14010
sorbs2a	117775
tlr3	5283
cyp4v8	12315
LOC101885541	3243
LOC101885801	1687
LOC101885905	3276
LOC101885961	3733
mtnr1aa	85540
klhl5	180258
si:dkey-192k22.2	23294
fam114a1	16911
trnap-agg	71
klf3	21039
tbc1d1	131869
pgm2	24751
si:dkey-167i21.2	596
slc25a51a	4823
LOC100535985	2437
zgc:195282	19112
rnf38	74134
LOC101886347	4428
limch1a	100776
phox2ba	5631
exosc9	8654
trnai-aau	73
ptpn9b	18424
ptprdb	155495
LOC108190005	12133
si:dkeyp-118a3.2	26671
tyrp1b	13247
rbm47	50491
lap3	13130
clockb	34528
kitb	29350
clrn2	2315
si:dkey-245p14.4	2215
smc2	23502
kiaa0368	36548
fbxo10	29764
polr1e	10915
tmem192	16022
apela	5949
LOC100536104	11315
march1	49342
tma16	4668
si:ch211-42i9.8	38404
zbtb5	12608
grhprb	9730
si:dkey-82j4.2	39007
apbb2b	93368
LOC101882573	53194
mettl14	4635
prss12	70327
ndst3	126663
ugt8	37711
spock3	71108
tll1	92921
cpe	44420
msmo1	12186
klhl2	39070
LOC101882260	1706
si:dkey-253i9.4	66291
npy1r	55037
med28	3200
tmem144a	8204
gria2a	78307
glrba	60903
wdr19	43414
ncapd3	22587
primpol	9672
adamtsl7	22834
zcchc7	103778
LOC103908753	1535
pax5	90051
melk	20431
frmpd1	51867
kdm4c	34700
dnah6	232288
LOC110439140	16451
LOC103908754	4824
si:ch73-380n15.2	134371
chrnb3a	23238
LOC108190615	1631
chrna6	27498
chrnb2a	48251
uchl1	4268
anxa5b	10208
fgfbp1b	1905
fgfbp2b	5232
zmynd10	12087
prom1b	44288
tapt1b	32892
ldb2b	29453
qdprb1	6148
gtf2e2	20528
si:dkey-92j12.6	3599
adgrl3.1	214170
si:dkey-92j12.5	79532
rfc1	25526
rpl9	4795
lias	8733
ugdh	10845
LOC108190011	854
smim14	10610
ube2kb	10183
pds5a	47236
LOC108190012	1529
LOC101886711	669
n4bp2	21530
rhoh	5398
chrna9	10971
LOC101886843	3811
trnar-ccg	72
trnar-ucg	72
trnar-ccg_1	72
trnar-ccg_2	72
trnar-ccg_3	72
trnar-ucg_1	72
trnaq-cug	72
trnar-ucg_2	72
trnar-ccg_4	72
trnaq-uug	72
trnar-ccg_5	72
trnar-ucg_3	72
trnar-ccg_6	72
trnar-ucg_4	72
trnaq-cug_1	72
trnastop-uca	72
trnar-ccg_7	72
trnastop-uca_1	72
LOC110439258	1075
LOC110439257	2724
si:dkeyp-26a9.2	12597
fam184b	51513
ncapg	13749
lcorl	22748
LOC108190619	1435
LOC110439261	30989
slit2	125967
mir218a-2	87
im:7138144	429869
LOC108190014	766
mab21l2	1813
LOC103908771	725
rps3a	4728
zgc:171517	4139
qdprb2	3679
qdprb2_1	4153
sh3d19	68522
LOC103908775	845
fam160a1a	43150
gatb	36764
dctpp1	1335
LOC101882397	3249
fbxw7	275353
tmem154	31964
mnd1	38517
tmem131l	97969
trim2a	47836
fhdc1	40161
arfip1	45484
sfrp2	6757
LOC101882989	3013
si:dkey-30k22.10	2403
dchs2	55870
plrg1	15641
fgg	9531
lrata	1229
LOC101883163	1736
LOC110439814	1014
LOC100537259	1416
si:dkey-30k22.5	2049
npy2r	4811
map9	12085
gucy1a3	15255
gucy1b3	40011
fabp2	3294
usp53b	63789
myoz2b	19134
synpo2b	4660
si:ch211-145b13.5	12103
si:ch211-145b13.6	2188
gpank1	9461
pdcd4a	17050
mxd4	25528
ndufb6	3958
toporsa	6612
mtap	16915
cdkn2a/b	4535
LOC108190622	1792
cxxc4	43879
tet2	28654
ppa2	6709
arhgef38	26997
ints12	5412
g3bp2	21678
uso1	41261
LOC108185367	957
LOC110439708	422
coro2a	49288
anp32b	5727
si:dkey-25o16.2	3858
trmo	5525
si:dkey-25o16.4	23730
foxe1	2427
sh3gl2a	41794
cntln	187870
bnc2	185791
LOC101882912	3328
LOC110439825	144506
si:ch211-76m11.7	11915
LOC108190634	2165
LOC101883046	2107
pspc1	52232
dnajb14	25717
LOC110439743	6246
sgut1	41900
chst10	15280
snapc3	46357
psip1a	105587
LOC110439709	3429
si:ch1073-440b2.1	83447
LOC108182421	943
LOC110439834	1364
LOC103908832	7865
LOC108190024	968
LOC108185504	3042
ednrba	5285
LOC108190026	914
LOC103908835	2102
zgc:172295	108906
LOC103908837	1944
timmdc1	25657
poglut1	15510
pwp2h	50917
gpm6ba	85700
gemin8	3056
cbsa	24898
cryaa	4011
hsf2bp	28158
ankrd10a	23386
zgc:173948	1788
cars2	18589
irs2a	18079
lig4	3439
fam155a	110139
si:dkey-1h24.2	45347
si:dkey-1h24.6	4228
raph1b	79322
spp2	4257
alg11	8010
cpb2	4058
zc3h13	31192
tm9sf2	26229
zic2b	2804
pcca	91661
zgc:153256	84641
im:7148405	4700
vps8	227120
mir740	112
si:dkey-22o12.2	23190
LOC103908879	2545
tmem41ab	15818
igf2bp2b	71500
ubac2	28248
gpr183b	2654
dachc	103505
si:dkey-15d12.2	5045
bora	11445
dis3	25856
metap1d	27933
dlx2b	1747
itga6b	45561
si:ch211-269i23.2	33743
eef1a1b	17786
kcnq5b	214883
LOC103908890	3901
LOC568486	132313
cenpk	7373
LOC110439710	3125
lbx1b	1979
slc2a15b	25172
fgf8b	5228
dpcd	3656
poll	14463
wbp1lb	27240
as3mt	16191
cnnm2b	74735
nt5c2b	47525
inab	3249
anos1a	36497
LOC101885607	5051
sts	26375
pnpla4	10840
LOC101885560	1501
pudp	43931
nlgn4a	171813
LOC562564	4741
LOC110439944	6860
prkx	66492
mxra5a	10232
gyg2	16315
cd99	24695
trnar-ucu	91
dhrsx	102261
creb1a	10311
chmp2bb	10685
htr1fb	37144
cldng	1902
znf654	16173
arl13b	26537
nsun3	25415
LOC110439842	4963
LOC101886777	907
epha6	231308
mir734	92
arl6	30070
slc5a7a	16375
kctd12.2	1476
lmo7b	83773
klf12a	59931
klf5a	15989
pibf1	69275
gpalpp1	8954
gtf2f2a	11562
tpt1	5770
LOC110439843	1234
zgc:172122	43938
LOC101886453	1409
LOC103910066	3089
LOC108190059	6426
LOC108190061	1199
LOC110439844	2426
LOC101886362	1855
sc:d189	38618
LOC101883801	3416
LOC101886741	997
usp38	16160
gab1	114967
frem3	39051
si:dkey-27h10.2	32001
hhip	45781
LOC110438575	11498
smad1	31959
LOC101886967	1558
tceanc	2591
mmaa	13824
zgc:152968	12503
znf827	133735
lsm6	9275
LOC100538006	2800
pou4f2	1795
ednraa	51347
tmem184c	20246
prmt9	26070
arhgap10	140543
nr3c2	152812
dclk2a	111373
fam193a	49666
tnip2	5652
scpp1	2829
sparcl1	27020
LOC108190667	441
LOC101883466	4766
si:dkeyp-13d11.2	2916
si:ch211-15e22.3	379542
LOC101883643	1042
galnt7	24101
hmgb2a	2112
hand2	1865
fbxo8	16803
cep44	12490
hpgd	16470
glra3	121984
LOC103908993	2879
gpm6ab	107805
wdr17	45545
asb5b	11724
spcs3	3847
vegfc	57926
mir2197	109
LOC108190091	9008
zgc:153720	103897
tenm3	197350
dctd	46225
irf2a	14610
tmem134	13372
stox2a	78769
LOC110439845	61741
ing2	2218
sod3b	1631
aip	14681
cdk2ap2	5938
lgi2b	5219
ccdc149b	19218
si:dkey-117m1.4	29669
cntf	7713
si:ch211-113e8.11	5933
si:ch211-113e8.10	16295
zgc:152658	4747
zgc:194443	2332
LOC103909020	773
si:ch211-113e8.9	7077
LOC793449	4596
LOC100330380	1668
si:ch211-113e8.5	2186
si:ch211-113e8.3	18670
faah2a	21153
zgc:56493	6862
vwa10.1	21797
vwa10.2	21499
maml3	184769
scoca	6795
clgn	35799
LOC108190121	4138
naa15b	28177
LOC797949	84517
LOC101885779	7013
wu:fc34e06	21068
zgc:153642	1460
LOC110439949	1452
htra3a	17459
gpr78a	3178
cpz	17404
hmx4	1527
hmx1	1433
adra2c	1298
lrpap1	9917
dok7	49746
rgs12b	89407
htt	80492
si:ch211-89o9.4	9480
trnae-cuc	71
paip2b	5850
dok1a	6688
si:ch211-89o9.6	5427
trnak-cuu	72
dtx4	33718
LOC565594	18737
si:dkey-56e3.3	10014
mogs	7892
LOC797711	4382
fbxo41	88993
rnf24	50212
smox	16834
LOC110439712	829
si:dkey-37g12.1	30250
LOC797212	10187
adra1d	24682
ctnna2	810672
LOC108190166	1813
LOC101882853	3374
lrrtm1	4869
LOC110439713	14939
suclg1	32072
cisd2	5854
si:dkey-162b23.4	18245
bdh2	13433
tacr3a	60759
si:dkey-22i16.2	4897
si:dkey-22i16.3	3297
scpp5	5744
scpp7	2375
scpp6	8177
LOC110439846	954
si:dkey-22i16.7	3227
odam	5197
scpp9	3271
si:dkey-22i16.9	7779
zgc:66472	12298
LOC103909073	1279
si:ch73-109d9.1	13074
si:ch73-109d9.3	6986
si:ch73-109d9.2	8601
LOC799968	13754
vwa11	17404
LOC103909118	6696
LOC110439847	18262
cabp2a	33622
slc43a3a	20069
ctnnd1	55848
timm10	4790
unc93b1	22231
cryba1l2	12780
crybb1l2	7256
rtn4rl2a	2471
zdhhc5a	42918
tmx2b	11232
med19b	9117
slc43a1b	46440
trnap-agg_1	71
si:dkey-28b4.8	52441
si:dkey-28b4.7	3881
ssrp1b	28616
p2rx3b	12300
si:dkey-9i23.4	2397
si:dkey-9i23.5	2709
si:dkey-9i23.6	12718
tmem187	2213
si:dkey-9i23.8	10863
ndufs8a	8703
zgc:165520	9418
kdm2aa	31266
tcirg1a	28812
wu:fc21g02	29672
si:dkey-9i23.15	3565
si:dkey-9i23.14	3305
tmem176	5459
si:dkey-9i23.16	5193
vps37c	11502
cd5	9263
tmem132a	13771
trnae-cuc_1	71
trnam-cau	71
trnak-uuu	72
dnaja1	11433
smu1b	26327
rps6	5794
btr01	20134
si:ch211-151p13.8	14364
muc13a	20335
LOC799879	8013
LOC799643	6263
zgc:111983	3967
ddx39aa	9364
si:ch211-239f4.1	86317
LOC110439860	2907
LOC110439861	6656
si:ch73-90k17.1	5304
emp1	7443
zgc:101679	9181
si:ch211-243a20.4	6145
si:ch211-243a20.3	14532
grin2bb	183738
atf7ip	44458
sept3	19680
LOC103909155	9006
serhl	12490
trappc5	5691
mcoln1a	25569
si:ch211-214c7.4	37624
si:ch211-214c7.5	7892
pkn1a	78615
LOC103909160	882
map2k7	16259
pnpla6	53615
lipt1	1305
eif5b	31063
arhgef7b	62000
LOC103909161	1904
LOC563925	1145
sox1b	1773
LOC100002818	1531
atp11a	131601
tubgcp3	44972
mcf2la	130575
si:busm1-105l16.2	4681
cab39l	18359
cdadc1	15963
rcbtb1	14847
arl11	1885
ebpl	3784
kpna3	37802
spryd7a	7680
LOC103909193	8079
mir16b	139
mir15a-1	83
LOC108190346	18569
LOC101884727	6935
si:ch73-160h15.3	1687
agpat3	40764
pdxkb	36254
LOC101885235	21607
pknox1.2	24126
si:dkey-22n8.3	4712
itsn1	90922
cryzl1	13760
setd4	7890
mhc1zea	5505
mhc1zda	10599
mhc1zca	11040
LOC103909196	2937
mhc1zba	6572
cbr1	7363
morc3b	9339
bcl9	182200
gja5b	16719
gja8b	2716
fstl1a	25601
lrrc58a	6857
trnae-cuc_2	71
stn1	13571
sh3pxd2aa	175491
neurl1aa	126295
cfap58	180638
sorcs3	380581
LOC100332340	339396
LOC101885528	1935
LOC110437846	3067
LOC101886909	2164
cxcl18b	3190
si:ch73-6k14.2	4719
caly	28177
msx1b	2372
si:dkeyp-80c12.8	4578
si:dkeyp-80c12.7	39000
taf5	16830
si:dkeyp-80c12.10	2743
pdcd11	46153
zgc:175214	17083
calhm1	6125
LOC794408	3167
zp3c	7183
si:ch211-281g13.5	6436
zgc:163136	11948
si:ch211-281g13.4	12149
col17a1a	38127
slkb	42604
tsga10	23008
si:ch211-149l1.2	23140
lef1	88939
hadh	9195
cyp2u1	9340
sgms2	13666
gstcd	128275
npnt	102178
tbck	95359
aimp1	25675
dkk2	45531
papss1	40378
LOC101885315	4840
pkd2	18688
abcg2d	28333
ppm1k	17339
si:ch73-190m4.1	20196
herc3	52122
fam13a	97422
zgc:154142	43492
si:dkeyp-123h10.2	11556
otx1a	8691
mdh1aa	21981
ugp2a	23055
spast	17582
dpy30	2774
psen2	13400
srd5a2a	6326
LOC108190350	9391
jag1a	52722
btbd3a	11044
esf1	16981
ndufaf5	8118
kif16ba	38122
mast1a	95765
atg4da	20061
actr2a	20640
spred2a	25726
meis1a	46051
etaa1	15587
ppp3r1b	33571
cnrip1a	12631
fbxo48	7282
si:ch1073-147h9.1	36797
prokr1a	19744
snrpb2	8255
rnaseh2a	7760
prdx2	8015
junba	1561
si:ch211-145g9.7	2123
dand5	2237
LOC103909283	7998
LOC110437879	87381
LOC103909284	57666
rad23aa	17400
rnf11a	7100
asna1	14415
best2	11869
rab3da	22363
pld6	7531
cnn1a	8094
si:dkey-121b10.7	28779
LOC108185957	6657
si:ch211-217k17.9	24321
zgc:194101	1140
si:ch211-217k17.12	2828
si:ch211-217k17.11	2792
si:ch211-217k17.10	698
si:ch211-217k17.7	9312
glb1	16690
cldnd1b	5663
acy3.2	7648
LOC108190353	18539
acy3.1	5867
tacr3l	17654
abca1a	67858
trnaa-ugc	71
trnaa-ugc_1	71
trnaa-ugc_2	71
slc44a1a	20445
aptx	6094
osbp	41493
LOC558721	3144
LOC108179086	2346
LOC100535525	811
wu:fc75a09	4759
patl1	26034
smarca5	28515
inpp4b	283884
il15	25412
znf330	10922
rnf150	19163
tbc1d9	39692
ucp1	14423
elmod2	16136
LOC108190370	3705
LOC110439888	33018
zgc:66455	13419
b3gnt2a	11037
commd1	13939
LOC110439714	1552
LOC110439958	3644
LOC103908636	25403
usp34	87132
xpo1a	28897
fam161a	14839
cct4	13042
pus10	15605
akt3b	21430
LOC100536887	4604
crfb17	20964
ltv1	15191
capn9	25203
LOC101883618	1307
taf5l	6938
nup133	22796
acta1a	7573
ccsapa	8477
si:ch211-133l11.10	14995
dla	12725
triobpa	30522
smdt1b	1003
dcaf15	15307
rfx1b	25189
rln3b	2836
LOC100005536	29520
LOC100008366	26686
nthl1	12219
tsc2	83472
pkd1a	148653
LOC110439889	34589
wu:fj19g03	8603
si:ch211-202h22.10	6967
tekt4	8470
si:ch211-202h22.9	10901
si:ch211-202h22.8	9973
si:ch211-202h22.7	10415
gprc5bb	6909
knop1	10187
exosc1	5382
pgam1b	11157
cdc25d	14594
pi4k2a	18150
si:ch211-197k17.3	6469
zgc:136791	18330
LOC559196	73395
LOC110439890	572
si:ch211-196h16.5	23611
zfyve27	18098
golga7ba	23013
crtac1a	14428
r3hcc1l	10577
khsrp	12047
slc25a23a	23529
si:ch211-196h16.12	4992
zgc:136864	1618
vps54	33540
peli1a	23470
lgalsla	9920
aftpha	15705
sertad2a	3936
rab1aa	7326
mb	7228
pane1	5528
zgc:158803	13958
mri1	19469
cc2d1a	23926
si:ch211-286b5.2	7689
nanos3	1122
si:ch211-286b5.4	12659
si:ch211-286b5.5	6954
si:ch211-286b5.6	8084
zgc:172106	5363
si:ch211-286b5.8	8230
LOC101883549	27966
si:ch211-286b5.9	4736
LOC101884507	9734
LOC110439892	591
LOC103909416	12333
LOC103909373	689
LOC110439959	7875
LOC101884568	1369
LOC103909419	4859
LOC110439893	814
LOC103909420	2962
LOC108186185	952
LOC108190423	590
si:dkey-9c18.3	1290
adgre9	39709
LOC108190435	2008
LOC103909383	5093
LOC110439891	8736
LOC110437794	3951
LOC110439894	1963
adgre15	27732
LOC101883942	1333
LOC108190441	580
LOC103909395	25437
LOC110439895	524
LOC103909390	1174
LOC110439896	570
LOC100536910	8206
LOC103909389	7154
LOC103909388	3503
LOC110439897	607
adgre10	9549
dnajb1b	4119
tecrb	24624
LOC101884156	3000
ndufb7	5537
zgc:136908	23563
samd1b	24284
prkacab	29626
asf1bb	10794
si:ch73-343l4.8	5511
LOC103909412	671
LOC100537240	3099
LOC100537194	10891
LOC100537143	2113
si:ch73-343l4.2	3530
c3a.4	35532
c3a.6	43521
LOC100331492	47678
c3a.1	46753
crb3b	4448
si:dkey-76b14.2	26030
zgc:65894	6461
c3a.2	37071
c3a.3	45954
gcgrb	18635
mir722	90
LOC110439963	5927
slc25a10	13160
LOC100334365	2248
LOC100334305	7063
zgc:171452	5109
LOC100334176	5185
LOC100333957	14076
LOC101886664	4169
LOC571092	2831
LOC100538177	3998
wu:fa03e10	3283
LOC100148249	3964
LOC101886975	20471
zmp:0000000906	4632
LOC100148752	28516
LOC100151165	3679
LOC100148237	13350
LOC103910127	9159
LOC110439898	6192
LOC100149931	5446
LOC100149227	4583
LOC110439968	2686
LOC100535040	6635
LOC110439970	3633
LOC110439974	5248
LOC101887163	771
si:ch211-1f22.3	1910
LOC100151328	6256
LOC110439975	657
LOC100149932	3818
LOC100149229	4918
LOC110439899	13735
LOC103909437	2931
LOC110439980	9686
LOC100150177	13769
LOC100148735	4573
LOC108186460	5371
LOC100150424	7152
LOC100006208	802
si:ch211-1f22.1	5041
si:ch211-1f22.2	3595
LOC100006104	4669
LOC100150661	3603
LOC108190564	1721
LOC110439903	3530
si:ch211-1f22.12	3689
LOC103909460	3292
LOC110439985	1993
LOC103909443	1037
LOC110439986	3944
LOC110439914	2850
LOC110439987	5925
si:ch211-1f22.16	5204
LOC103909442	1516
LOC110439988	937
LOC108190565	1701
LOC103909440	2791
LOC793862	789
LOC110439919	43566
LOC793648	1181
rac1l	4051
LOC103909439	9720
LOC101882982	7643
LOC108190563	4157
LOC108186582	2906
LOC100149247	7645
si:dkey-27j5.8	22040
LOC110439928	435
mycbpap	48386
si:dkey-27j5.5	2685
epn3b	22022
b3gntl1	16270
si:dkey-27j5.3	11639
LOC108190693	829
LOC100006649	21514
LOC100147925	1867
LOC103909461	5884
zmp:0000000971	16236
LOC100006752	3134
zgc:171470	3341
LOC103908692	7918
tspan34	12192
LOC101883531	2922
LOC110439716	1305
LOC110439989	1055
LOC110439930	17906
LOC100536927	1373
LOC103909463	4095
LOC100333168	2577
LOC100333244	3174
zmp:0000001289	7511
LOC101883054	2004
LOC103909469	4644
LOC108190572	4193
LOC101883960	8802
sc:d0284	3690
LOC110439990	13462
LOC101885706	3301
LOC110439991	621
LOC101885769	1950
LOC110439933	2308
si:xx-b51.1p	443
si:xx-b51.2p	365
si:xx-b51.3p	354
si:xx-b51.4p	376
si:xx-b51.5p	374
si:xx-b51.6p	383
si:xx-b51.7p	455
LOC110439727	755
si:xx-b51.8p	401
si:xx-b51.9p	335
si:xx-b51.10p	453
si:xx-b51.11p	359
LOC101883506	6670
LOC101882159	4563
LOC101882213	7066
LOC110439992	2817
LOC108179133	1372
si:dkey-1c7.3	7280
LOC101882350	2453
LOC101883825	1172
LOC110439728	2549
LOC101887025	2490
LOC103909484	2564
LOC101883999	7009
LOC100537163	4193
si:ch211-114l13.10	15293
si:ch211-114l13.12	9727
si:ch211-114l13.9	6258
nxnl1	2719
si:ch211-114l13.7	21612
trim35-1	9964
caspb	13811
si:ch211-114l13.4	10829
si:ch211-114l13.13	77136
si:ch211-114l13.1	11485
caspbl	9592
si:ch211-15j1.5	14599
si:ch211-15j1.4	9047
LOC103908614	21768
LOC108184853	881
si:ch211-15j1.1	5066
si:dkey-222h21.11	3956
si:dkey-222h21.12	10725
si:dkey-222h21.10	7217
si:dkey-222h21.9	9433
LOC108186899	990
ggt1l2.2	15541
si:dkey-222h21.8	7613
si:dkey-222h21.7	4216
si:dkey-222h21.6	7989
LOC110439936	1861
si:dkey-222h21.5	5401
si:dkey-222h21.4	4303
si:dkey-222h21.3	3351
LOC110439993	2994
ggt1l2.1	7102
si:dkey-222h21.2	9052
si:dkey-222h21.1	7739
si:ch73-236c18.1	1048
LOC110439994	3804
LOC103909498	8374
si:ch73-236c18.2	6773
si:ch73-59p9.2	11149
si:ch73-236c18.3	9616
zgc:194906	10910
si:ch73-236c18.5	3964
LOC100334101	6058
si:ch73-236c18.7	216847
si:ch211-233g6.2	13836
LOC793232	18212
zgc:172091	2050
slc27a1b	16848
adgre5b.3	15000
LOC110439689	8552
adgre5b.2	12726
LOC572225	8434
si:ch73-221f6.1	4501
zgc:174928	4369
LOC108190743	5246
zgc:174890	4607
LOC103909533	5335
LOC100536657	31369
LOC110439690	22523
LOC108190731	5109
adgrl1.1	7658
si:ch211-236p5.3	13959
LOC101884874	1454
LOC101884937	35891
LOC101884341	9130
LOC101884985	6149
LOC103909543	3939
LOC108190761	11665
tmed1b	9826
dnm2b	27018
LOC566119	1418
LOC100334800	1491
zgc:171687	1820
zmp:0000001172	1732
LOC108179043	14345
LOC101886340	4969
LOC101886403	759
sh2d3a	15771
eri2	2182
thumpd1	3900
LOC101882962	695
LOC110439700	656
LOC110439995	2122
cdc37	7041
zgc:153247	6599
LOC101884216	855
zgc:76872	3409
pin1	3344
si:zfos-2330d3.1	13377
LOC100007488	4150
si:zfos-2330d3.3	1592
zgc:173915	1411
mfap4	1473
wu:fj11g02	1836
LOC108179162	3905
si:zfos-2330d3.6	9372
LOC555374	2520
si:zfos-2330d3.8	2665
si:ch1073-110a20.2	1931
si:ch1073-110a20.3	3659
si:ch1073-110a20.1	1779
LOC108187081	3457
