gene_id	gene_name	SRR3655791	SRR3655792	SRR3655793	SRR3655794	SRR3655795	SRR3655796	SRR3655797	SRR3655798	SRR3655799	SRR3655800	SRR3655801	SRR3655802
ERCC-00060	ERCC-00060	60.237503	61.17209	89.432277	83.080805	70.254113	65.932869	190.419893	190.419894	193.692655	176.21771	227.232764	216.483765
ERCC-00061	ERCC-00061	0	0	0	0.064427	0	0	0	0	0	0.030989	0	0.029574
ERCC-00062	ERCC-00062	5.698608	5.622913	4.372206	6.191318	5.744507	4.8482	4.061164	4.061164	2.587507	3.031482	3.391539	3.505694
ERCC-00067	ERCC-00067	0.32044	0.305984	0	0.150099	0.28713	0.397112	0.411056	0.411056	0.748279	0.433179	1.445384	0.413398
ERCC-00069	ERCC-00069	0	0.104949	0	0.160882	0.184655	0.218901	0.881174	0.881174	0.721834	0.4643	0.774612	0.886195
ERCC-00071	ERCC-00071	7.73235	7.937287	4.247185	7.243891	9.382426	7.072779	28.516989	28.516989	26.520192	23.881743	39.419124	35.468334
ERCC-00073	ERCC-00073	0.180186	0.412939	0.226221	0.084402	0	0.0638	0.462281	0.462281	0.210382	0.324775	0.609566	0.309944
ERCC-00074	ERCC-00074	4398.532925	4267.620649	4065.867411	3816.678425	4167.910947	4004.638906	14418.557478	14418.557561	13996.387529	13498.104255	19787.849551	19010.276128
ERCC-00075	ERCC-00075	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00076	ERCC-00076	34.312305	34.025735	25.48311	27.466419	29.446382	28.405192	93.403471	93.403471	93.66706	93.567071	132.608114	130.512385
ERCC-00077	ERCC-00077	9.058649	10.379986	7.582	4.243203	2.705663	7.484078	23.240619	23.24062	42.306847	36.737175	57.885266	42.850573
ERCC-00078	ERCC-00078	4.617185	4.030986	2.794889	3.707582	3.029037	3.765971	15.335979	15.335979	15.017619	13.895067	16.084674	19.607169
ERCC-00079	ERCC-00079	10.574512	11.321402	10.862299	9.606313	12.203005	12.196998	50.765378	50.765379	44.148468	48.660449	64.861619	66.625947
ERCC-00081	ERCC-00081	0	0.087424	0	0.107213	0	0	0	0	0.534485	0	0	0.098428
ERCC-00083	ERCC-00083	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00084	ERCC-00084	1.646704	2.012694	2.274154	1.889784	1.770632	2.157324	6.125872	6.125872	7.690647	6.381369	9.006049	8.639249
ERCC-00085	ERCC-00085	0.520012	0.715036	0.522294	0.292297	0.83872	0.441899	0.400238	0.400238	1.214313	0.468644	0.938232	0.715589
ERCC-00086	ERCC-00086	0	0	0	0	0	0	0	0	0	0.035712	0	0
ERCC-00092	ERCC-00092	18.691062	21.097765	18.562935	16.301595	18.810363	18.792386	12.614574	12.614574	8.875911	9.773709	11.71824	13.106332
ERCC-00095	ERCC-00095	17.379674	20.00569	17.037474	17.285455	18.772967	17.955457	10.994502	10.994502	8.339255	9.011516	11.275739	15.152386
ERCC-00096	ERCC-00096	1395.140029	1320.404362	1219.510494	1134.664604	1309.162468	1270.775349	2763.283687	2763.283702	2588.655039	2466.676598	3730.384106	3481.13797
ERCC-00097	ERCC-00097	0	0	0.300108	0.223937	0	0	0	0	0.279096	0.107713	0	0
ERCC-00098	ERCC-00098	0	0	0	0	0.061197	0	0	0	0	0	0	0
ERCC-00099	ERCC-00099	1.876691	1.813111	1.801768	1.163474	1.088098	1.19218	4.602369	4.602369	3.931252	4.427246	4.854957	5.43563
ERCC-00104	ERCC-00104	0	0	0	0	0	0	0	0	0	0.015075	0.037725	0
ERCC-00108	ERCC-00108	88.247476	82.750809	78.312602	70.442877	84.549463	75.587135	41.840187	41.840188	41.418302	38.155905	60.226763	52.043667
ERCC-00109	ERCC-00109	0.226265	0	0	0	0	0.240346	0.290249	0.290249	0.264183	0.305871	1.020596	0.486505
ERCC-00111	ERCC-00111	42.978981	42.329464	35.972983	36.600093	37.404604	37.928093	128.643306	128.643307	118.532091	117.906931	162.10888	164.21654
ERCC-00112	ERCC-00112	5.089118	5.805174	3.626367	4.960917	5.05308	4.821411	23.113538	23.113538	19.67271	19.368264	26.05716	29.160052
ERCC-00113	ERCC-00113	543.987441	518.268617	455.618409	439.492512	519.198058	491.806996	1649.794152	1649.794161	1538.251397	1494.498351	2167.464596	2092.438189
ERCC-00116	ERCC-00116	2.827848	1.975812	1.558678	1.986908	1.668659	2.344453	1.371381	1.371381	0.845568	0.932381	1.283315	1.394025
ERCC-00117	ERCC-00117	0	0	0	0	0	0	0	0	0.080297	0.030989	0	0
ERCC-00120	ERCC-00120	0	0.086423	0	0.105986	0.202744	0.16023	0.870748	0.870748	0.264183	0.101957	0.255149	0.291903
ERCC-00123	ERCC-00123	0.079253	0.030271	0.099501	0.037123	0	0.028062	0	0	0.092535	0	0	0.034081
ERCC-00126	ERCC-00126	0.279959	0.240596	0.263613	0.098353	0.125428	0.173473	0.718256	0.718256	0.817188	0.283842	0.552471	0.180587
ERCC-00130	ERCC-00130	1787.103051	1750.573562	1496.764864	1474.081134	1716.14077	1654.303718	919.790661	919.790667	878.609961	852.464672	1232.672191	1206.619099
ERCC-00131	ERCC-00131	19.323097	18.906969	14.226463	16.146929	20.200169	19.469766	8.262468	8.262468	10.305776	9.298388	15.333579	11.848796
ERCC-00134	ERCC-00134	3.07648	1.175077	0	0	0	1.089312	3.946467	3.946467	0	0	0	1.322984
ERCC-00136	ERCC-00136	90.830562	86.018851	86.945441	77.028608	89.276157	87.767095	39.271754	39.271754	43.203041	39.524981	60.612123	62.107454
ERCC-00137	ERCC-00137	0.225404	0.086094	0	0	0.201973	0.079811	0	0	0.526356	0.304708	0.508358	0.96931
ERCC-00138	ERCC-00138	0	0	0	0	0	0	0	0	0	0	0	0.068072
ERCC-00142	ERCC-00142	0	0.102922	0	0	0	0	0	0	0.314617	0	0	0.115877
ERCC-00143	ERCC-00143	0.116466	0.355879	0	0.381882	0.104359	0.123714	0.597606	0.597606	1.223855	0.472327	1.576008	0.9516
ERCC-00144	ERCC-00144	4.508088	3.615961	4.810862	3.90656	3.635518	4.629013	2.313165	2.313165	2.63178	3.148646	1.779252	3.101793
ERCC-00145	ERCC-00145	67.407387	62.903246	50.816252	54.920229	62.203278	59.901485	199.445191	199.445192	186.232121	184.373492	260.589009	258.522947
ERCC-00147	ERCC-00147	0.079147	0.120923	0.198737	0.148295	0.07092	0.028024	0.203058	0.203058	0	0	0	0.068072
ERCC-00148	ERCC-00148	2.155686	2.058437	2.368127	1.640851	1.690149	2.385248	4.147926	4.147926	4.71926	3.278378	6.077184	5.21445
ERCC-00150	ERCC-00150	0.252799	0.144837	0.158693	0.236829	0.22652	0.223776	0.972861	0.972861	0.147582	0.512611	0.712676	0.652269
ERCC-00154	ERCC-00154	1.577831	1.119226	1.980943	1.16141	2.221706	1.516401	0.867437	0.867437	1.052712	1.015692	0.762536	0.678517
ERCC-00156	ERCC-00156	0	0	0	0	0	0.09541	0	0	0	0	0	0
ERCC-00157	ERCC-00157	0.477434	1.154935	0.199804	0.745456	0.926908	0.788893	2.245633	2.245633	1.765236	1.649375	2.602177	2.395303
ERCC-00158	ERCC-00158	0.078622	0.090091	0	0	0	0	0.100856	0.100856	0	0.035428	0.177318	0.135241
ERCC-00160	ERCC-00160	1.769593	1.255251	2.697775	1.894635	1.359121	1.163635	6.323597	6.323597	7.969412	5.41089	9.54986	10.055821
ERCC-00162	ERCC-00162	10.237342	11.366869	11.657219	13.605326	13.866396	13.150475	43.367201	43.367201	46.143879	42.590143	67.654432	59.483352
ERCC-00163	ERCC-00163	1.542637	3.535308	3.320157	2.890375	2.567087	2.809095	16.113689	16.113689	12.09347	12.412969	17.147147	15.35258
ERCC-00164	ERCC-00164	0	0	0	0	0	0.028024	0.101529	0.101529	0.092411	0.035664	0	0.102108
ERCC-00165	ERCC-00165	6.542758	4.543706	3.235951	3.621945	4.974351	4.527982	18.439079	18.439079	16.667355	18.716765	25.264012	23.531876
ERCC-00168	ERCC-00168	0	0.060461	0	0.148295	0.07092	0.084073	0	0	0	0.142658	0.446255	0.340359
ERCC-00170	ERCC-00170	1.662094	1.420843	1.689261	1.594172	1.631156	1.541335	0.710704	0.710704	1.016521	0.855948	0.714008	0.850897
ERCC-00171	ERCC-00171	612.830604	638.409433	466.859403	515.575814	579.479604	624.071723	1255.570506	1255.570513	1213.823734	1272.496324	1650.678874	1804.034042
LOC100000086	LOC100000086	0	0	0	0	0.106879	0.084468	0	0	0	0	0.134505	0
LOC100000155	LOC100000155	0.673492	0.232771	0.519863	0.437868	0.061421	0.021285	0	0	0.982125	0.935766	0.296158	0.324826
LOC100000155_1	LOC100000155_1	0.169852	0.755252	0.676451	0.610561	0.217215	0.188307	1.023128	1.023128	1.40814	1.300492	0.6441	0.996512
LOC100000228	LOC100000228	0	0	0	0.159828	0	0	0	0	0	0	0	0
LOC100000275	LOC100000275	29.034279	24.390409	100.003856	99.083673	7.103124	6.211107	4.658255	4.658255	64.446853	62.067717	48.055012	45.936011
LOC100000278	LOC100000278	0	0	0	0	0	0	0.04271	0.04271	0	0.007501	0	0
LOC100000365	LOC100000365	0.451495	0.275921	0.396792	0.48642	0.364106	0.399661	8.294434	8.294434	0.85755	1.470843	1.12009	1.242607
LOC100000417	LOC100000417	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000458	LOC100000458	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000504	LOC100000504	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000545	LOC100000545	0.376443	0.517668	0.306283	0.228545	0.388616	0.326899	0.139086	0.139086	0.189893	0.232072	0.427932	0.30307
LOC100000633	LOC100000633	2.747156	3.240939	3.760062	3.615286	4.236656	4.033455	10.652732	10.652732	8.399812	7.966192	12.101486	11.954258
LOC100000636	LOC100000636	0	0.076755	0	0	0	0	0	0	0	0	0	0
LOC100000694	LOC100000694	0	0	0	0	0	0	0	0	0	0	0	0
LOC100000713	LOC100000713	3.633001	3.854563	7.746765	7.887479	4.547149	3.716161	4.734338	4.734338	7.810345	8.808958	5.5274	5.728455
LOC100000748	LOC100000748	0.062965	0.034027	0.102844	0.309561	0.108963	0	0.352634	0.352634	0.561005	0.569133	0.345456	0.178908
LOC100000748_1	LOC100000748_1	0	0.023512	0.405895	0.292407	0.283066	0.35151	0.228071	0.228071	0.58744	0.343576	0.80824	0.924393
LOC100000752	LOC100000752	0.368746	0.277848	0.299559	0.355612	0.194361	0.146594	0.137448	0.137448	0.379889	0.328869	0.532934	0.255463
LOC100000772	LOC100000772	0.753634	0.796739	0.726528	0.844709	0.325587	0.247784	0.690536	0.690536	1.194189	1.224964	0.74361	0.816003
LOC100000832	LOC100000832	0.152656	0.097179	0.287486	0.178766	0.091191	0.108104	0.032637	0.032637	0.207945	0.286617	0.114762	0.141627
LOC100000851	LOC100000851	0.102592	0.084834	0.55953	0.866614	0.107176	0.256905	0	0	0.820228	1.073375	0.924636	1.497725
LOC100000863	LOC100000863	0.173591	0.198909	0.326912	0.195245	0.233319	0.430253	0.334572	0.334572	0.305752	0.285349	1.174507	1.226411
LOC100000884	LOC100000884	0.037307	0.085498	0.046839	0.14854	0.133717	0.072653	0.789646	0.789646	0.239576	0.193327	0.168279	0.104282
LOC100000890	LOC100000890	0	0.031602	0.121414	0.120797	0.111205	0.117182	0.165406	0.165406	0.096603	0.072628	0	0.01779
LOC100001051	LOC100001051	0.237363	0.093186	0.485109	0.535067	0.615516	0.050116	0.748521	0.748521	1.327611	0.384506	0.897952	0.774923
LOC100001051_1	LOC100001051_1	0	0.023561	0	0.205771	0	0.381948	0	0	0	0.361137	0.464231	0.287446
LOC100001114	LOC100001114	4.097267	4.121316	5.104337	5.877569	4.19508	3.883479	4.747792	4.747792	4.06373	4.265972	2.086983	2.166389
LOC100001114_1	LOC100001114_1	0.103199	0	0.054213	0	0.091509	0.015521	0	0	0	0	0	0.020682
LOC100001178	LOC100001178	0.062075	0	0	0.116307	0	0.043958	0.159257	0.159257	0.144955	0.083914	0.069999	0
LOC100001178_1	LOC100001178_1	0	0	0	0	0	0	0	0	0	0	0	0.050615
LOC100001242	LOC100001242	0.031912	0	0	0.027253	0	0	0.112527	0.112527	0	0.059478	0.20551	0.11453
LOC100001259	LOC100001259	0	0	0	0	0	0	0	0	0	0.020951	0	0
LOC100001344	LOC100001344	0.472091	0.787837	0.263303	0.675478	0.669339	0.519849	0.381855	0.381855	0.244867	0.310884	0.394157	0.584688
LOC100001344_1	LOC100001344_1	0	0	0	0	0	0	0	0	0	0.462676	0	0
LOC100001363	LOC100001363	0.604491	0.471366	0	0	0	0	0.282904	0.282904	0	0.380934	0	0
LOC100001405	LOC100001405	0	0.008492	0.012777	0.005835	0	0.030054	0.085556	0.085556	0	0	0	0.030107
LOC100001444	LOC100001444	0	0	0	0	0.709406	0	0	0	0	0	0	0
LOC100001479	LOC100001479	0.362208	0.341256	0.394114	0.328016	0.302919	0.282149	2.911714	2.911714	0.620264	0.750785	0.816892	0.944949
LOC100001534	LOC100001534	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001550	LOC100001550	0.322899	0	0.259004	0.172251	0.109351	0	0.523583	0.523583	0	0.513505	2.803409	2.608311
LOC100001589	LOC100001589	6.90608	4.827093	6.624122	7.3516	1.346278	1.458942	11.557732	11.557732	15.841091	14.674018	13.568666	13.810586
LOC100001596	LOC100001596	0.197605	0.037738	0.24809	0.092561	0	0.034984	0.126742	0.126742	0	0.044521	0.111415	0
LOC100001608	LOC100001608	0	0	0.072809	0.406213	0.366114	0.290037	0	0	0	0	0	0
LOC100001620	LOC100001620	14.926523	13.282148	13.495911	11.709493	6.744222	8.357536	7.641064	7.641064	12.696199	11.17175	5.435828	6.819314
LOC100001665	LOC100001665	1.712253	1.406931	2.601327	2.487011	2.024194	1.874851	5.555737	5.555737	4.082389	4.395926	3.115294	3.539301
LOC100001760	LOC100001760	0	0	0	0	0	0	0	0	0	0	0	0
LOC100001805	LOC100001805	0.010714	0	0	0	0	0.007587	0.013845	0.013845	0	0	0.012162	0.009231
LOC100001832	LOC100001832	1.962098	1.437619	1.999704	1.857531	0.861048	0.878818	1.541462	1.541462	1.355638	2.254827	2.347212	2.220724
LOC100001846	LOC100001846	0	0.065791	0	0.040302	0	0.030488	0.259906	0.259906	0.083898	0	0.194982	0.25363
LOC100001908	LOC100001908	0	0.054807	0.034215	0.090462	0.011923	0.041207	0.382373	0.382373	0.128838	0.084607	0.040647	0.075352
LOC100001930	LOC100001930	0	0	0	0	0	0	0.120325	0.120325	0	0	0	0
LOC100001991	LOC100001991	0	0.048028	0.053564	0.050049	0.102428	0.07413	0.130603	0.130603	0.066733	0.066962	0.130532	0.088483
LOC100001991_1	LOC100001991_1	0.09916	0	0.026304	0.012796	0	0.039119	0.107981	0.107981	0	0	0.034918	0
LOC100002043	LOC100002043	0	0	0	0	2.676223	1.762534	6.849882	6.849882	0.951057	0.774872	5.102979	7.200275
LOC100002054	LOC100002054	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002059	LOC100002059	0.195948	0.24379	0.46629	0.50333	0.517455	0.781185	1.09288	1.09288	0.945702	0.756742	0.950396	0.809695
LOC100002059_1	LOC100002059_1	0.065886	0.120879	0.330101	0.159838	0.131993	0.073629	0.18487	0.18487	0.504273	0.702774	0.338495	0.369967
LOC100002071	LOC100002071	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002134	LOC100002134	0.037663	0.028771	0.047285	0.017642	0.033748	0.013336	0	0	0.175898	0.101827	0.042471	0.080981
LOC100002141	LOC100002141	0.526242	0.218951	1.841981	1.207166	0.565893	0.823127	2.483732	2.483732	1.293624	1.201939	2.142944	2.146639
LOC100002202	LOC100002202	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002266	LOC100002266	0.997701	0.842187	0.948926	1.100468	0.367494	0.470961	1.264597	1.264597	1.472871	1.445807	0.514151	0.402672
LOC100002283	LOC100002283	0.110694	0.12494	0.378534	0.348648	0.207648	0.166199	2.385236	2.385236	0.325269	0.302391	0.342791	0.305181
LOC100002283_1	LOC100002283_1	0	0	0	0	0.158184	0.27689	0	0	0	0	0	0
LOC100002283_2	LOC100002283_2	0	0	0.305307	0.43691	0.260301	0.177751	0.109646	0.109646	0.390673	0.43082	0.781131	0.961506
LOC100002327	LOC100002327	0.061687	0	0	0	0	0	0	0	0	0	0	0
LOC100002381	LOC100002381	0	0	0.089139	0.030791	0.024476	0.035488	0	0	0	0	0	0
LOC100002392	LOC100002392	0.203018	0.103392	0.76466	0.88757	0	0.119807	58.422933	58.422934	1.58027	1.860132	1.678857	1.018551
LOC100002406	LOC100002406	0.079288	0.111044	0.497728	0.50985	0.331549	0.205878	10.561694	10.561694	0.968398	1.172143	0.596068	0.738357
LOC100002469	LOC100002469	0.432974	0.427223	0.498293	0.743641	0.549618	0.447143	0.786835	0.786835	1.221703	0.959251	1.301989	1.132671
LOC100002472	LOC100002472	0	0	0	0.180481	0.049321	0	0	0	0	0.035284	0.124139	0.094681
LOC100002472_1	LOC100002472_1	0	0	0	0	0	0.023066	0.083566	0.083566	0.076061	0.046304	0	0
LOC100002481	LOC100002481	0	0	0	0	0	0	0	0	0	0	0	0
LOC100002503	LOC100002503	1.467805	1.430192	1.12825	1.234768	0.778398	1.240956	1.652323	1.652323	2.133484	2.456651	0.878259	1.004772
LOC100002544	LOC100002544	1.303801	1.525767	7.348651	6.717915	1.491408	1.551918	0.818457	0.818457	5.409004	5.812546	3.347143	4.211035
LOC100002570	LOC100002570	0.624237	0.47275	0.830532	0.80019	0.199108	0.379486	2.213539	2.213539	0.870124	0.746296	1.717681	1.578797
LOC100002591	LOC100002591	7.221979	6.803124	8.162651	8.040717	5.736897	6.203321	3.738598	3.738598	6.298665	5.416664	5.646379	5.285471
LOC100002633	LOC100002633	0.171688	0.187363	0.123172	0.160842	0.279009	0.286585	4.34185	4.34185	0.715927	0.541549	0.857393	0.54846
LOC100002706	LOC100002706	2.345808	3.067637	3.544136	2.886706	3.099497	2.534026	5.865332	5.865332	3.85306	3.977345	4.931853	4.80449
LOC100002814	LOC100002814	0.701448	0.563322	0.609686	0.657137	0.515718	0.458523	1.938048	1.938048	1.028997	0.842877	0.446201	0.510476
LOC100002818	LOC100002818	0	0	0	0	0	0	0	0	0	0.225848	0	0
LOC100002923	LOC100002923	0.417912	0.327172	0.780175	0.476486	0.257187	0.242564	0.55852	0.55852	0.736716	0.553893	0.723474	0.732235
LOC100002960	LOC100002960	0.53059	0.314726	0.181677	0.358631	0	0	6.038777	6.038777	12.531369	14.270194	2.935589	3.567539
LOC100003022	LOC100003022	0.043082	0.032911	0.054089	0.080722	0.038604	0.030791	0.221062	0.221062	0.301813	0.316214	0	0.037054
LOC100003040	LOC100003040	0	0	0	0.04233	0	0.021109	0.899669	0.899669	0.04485	0.020761	0	0.087631
LOC100003133	LOC100003133	0	0.057275	0	0	0	0.017698	0.064119	0.064119	0	0	0	0.021495
LOC100003140	LOC100003140	0	0	0	0	0	0	0	0	0	0	0	0
LOC100003182	LOC100003182	0.222523	0.144175	0.376352	0.345242	0.232614	0.21126	0.523302	0.523302	0.704053	1.038705	0.786582	0.898477
LOC100003291	LOC100003291	0.653132	0.792425	0.387892	0.431911	0.692104	0.652967	3.844157	3.844157	1.168007	1.125292	0.823157	1.024341
LOC100003530	LOC100003530	0.19558	0.134519	0.141988	0.108858	0.142116	0.150407	0.734633	0.734633	0.134796	0.210331	0.208499	0.253384
LOC100003556	LOC100003556	0.078727	0.06014	0	0.042364	0	0	0.487471	0.487471	0	0	0	0
LOC100003647	LOC100003647	0	0	47.371455	68.645327	0	34.00122	6828.530596	6828.530635	499.869728	254.790063	3027.904601	2775.556055
LOC100003687	LOC100003687	0	0	0.153412	0	0.301766	0.3683	0.070717	0.070717	0	0	0.54619	0.404866
LOC100003704	LOC100003704	1.644781	1.573886	2.347576	2.643823	1.659968	1.459014	5.574583	5.574583	2.203424	2.184451	1.522846	1.652867
LOC100003716	LOC100003716	0	0	0	0	0.470442	0.399292	0	0	0	0	0	0
LOC100003741	LOC100003741	0.053503	0.164825	0.406334	0.379002	0.479413	0.303107	0.13839	0.13839	0.062981	0.194451	0.42579	0.208768
LOC100003868	LOC100003868	0	0.008911	0	0	0	0	0	0	0.021051	0	0	0
LOC100004033	LOC100004033	0.336444	0.642531	0.67584	0.567342	0.30147	0.190603	11.134897	11.134897	3.613993	3.608187	0.910543	1.186388
LOC100004075	LOC100004075	2.4036	1.950211	2.262038	2.238075	1.526054	1.432979	1.268411	1.268411	2.72504	3.590569	5.111644	3.882107
LOC100004104	LOC100004104	0	0.291039	0.191329	0.071384	3.004157	2.913804	0	0	0.177933	0.274681	0	0.131069
LOC100004160	LOC100004160	0	0	0	0	0	0	0	0	0	0.018454	0	0
LOC100004180	LOC100004180	0.454571	0.541303	0.436423	0.576157	0.239598	0.35031	0.514515	0.514515	0.718071	0.710893	0.814129	0.379461
LOC100004186	LOC100004186	0	0	0	0	0	0.009396	0	0	0	0.023915	0.029923	0.034234
LOC100004199	LOC100004199	7.528185	7.620357	26.264634	26.266947	3.628831	3.474904	13.386013	13.386013	11.603658	11.565058	11.150843	9.89371
LOC100004253	LOC100004253	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004299	LOC100004299	3.045101	2.892296	3.430734	3.439102	2.455051	2.812587	3.943504	3.943504	3.95422	3.815027	3.20436	3.225283
LOC100004321	LOC100004321	1.553814	1.053323	0.370513	0.501107	1.25608	1.382296	17.466227	17.466227	0.387643	0.477013	0.572992	0.509857
LOC100004373	LOC100004373	8.640834	9.658614	11.495439	24.800679	43.075833	26.716195	65.335117	65.335117	37.452418	46.727005	23.18077	24.42524
LOC100004392	LOC100004392	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004392_1	LOC100004392_1	0	0	0	0	0	0	0	0	0	0.02844	0	0.04218
LOC100004411	LOC100004411	0.036324	0	0.364838	0.492525	0.032489	0.115755	1.674392	1.674392	5.004575	4.812216	0.695066	0.312413
LOC100004427	LOC100004427	0	0	0	0.063591	0	0.032046	0.196554	0.196554	0	0.163131	0.17825	0.136221
LOC100004499	LOC100004499	0	0	0	0	0	0	0.082429	0.082429	0	0	0.028568	0.043578
LOC100004499_1	LOC100004499_1	0	0	0	0.052558	0	0	0.139321	0.139321	0.043669	0	0	0
LOC100004523	LOC100004523	0.018303	0.025614	0.101032	0	0.120179	0.046435	0.356321	0.356321	0.076522	0.19943	0.060775	0.036136
LOC100004523_1	LOC100004523_1	0.029701	0	0	0.068059	0	0.014289	0.309861	0.309861	0.087229	0.090101	0.061066	0.029169
LOC100004528	LOC100004528	1.768955	2.294074	0.477095	0.400504	0.383069	0.282412	1.869199	1.869199	1.91199	2.550436	1.392688	1.511596
LOC100004545	LOC100004545	0.133217	0	0.167251	0.062401	0	0	0.788487	0.788487	0.155541	0	0.226375	0.171862
LOC100004582	LOC100004582	0.009642	0.003683	0.024212	0.022583	0.02592	0.010242	0.123691	0.123691	0.123841	0.112969	0.010873	0.016586
LOC100004591	LOC100004591	1.067861	1.322266	1.655577	1.389352	1.086239	1.145644	1.942036	1.942036	1.335366	1.628979	1.639375	1.444324
