Geneid	gene_name	SRR950087	SRR950082	SRR950086	SRR950080	SRR950085	SRR950078	SRR950079	SRR950083	SRR950081	SRR950084
ENSG00000238249	HMGN2P17	0	3	4	3	1	11	0	0	0	5
ENSG00000232208	RP3-477M7.5	1	0	3	0	0	0	0	0	0	5
ENSG00000232663	RP3-477M7.6	0	3	0	0	0	0	0	0	0	0
ENSG00000131686	CA6	0	1	2	2	0	2	2	1	2	3
ENSG00000265141	RN7SL451P	0	0	0	1	0	0	1	0	0	1
ENSG00000197241	SLC2A7	0	0	2	0	0	2	1	0	0	4
ENSG00000142583	SLC2A5	541	55	62	102	888	108	1067	1106	1098	105
ENSG00000252404	SCARNA16	0	0	1	0	0	0	0	0	0	0
ENSG00000180758	GPR157	52	843	804	1150	100	1284	102	122	113	1624
ENSG00000207865	MIR34A	1	1	11	2	0	1	3	4	1	5
ENSG00000228526	RP3-510D11.1	5	5	3	4	5	7	8	7	10	7
ENSG00000234546	RP3-510D11.2	3	10	13	17	14	38	11	16	12	30
ENSG00000049239	H6PD	1434	4156	3581	6333	2842	6868	3211	3260	3412	8391
ENSG00000252841	Z98044.1	1	0	0	0	3	0	1	0	1	0
ENSG00000171621	SPSB1	530	840	1001	1204	851	1264	960	945	1022	1584
ENSG00000252956	RNA5SP40	0	1	0	0	0	2	0	0	1	0
ENSG00000235263	RP13-392I16.1	0	0	4	4	0	2	1	0	0	6
ENSG00000171612	SLC25A33	755	1109	1124	1543	1114	1863	1319	1488	1324	2220
ENSG00000231181	RP13-15M17.1	5	15	14	23	10	28	14	11	11	36
ENSG00000188807	TMEM201	987	1049	1879	1555	1147	1314	1347	1274	1403	1779
ENSG00000171608	PIK3CD	751	849	1134	1327	1153	1280	1330	1369	1483	1517
ENSG00000179840	C1orf200	4	0	1	1	5	1	2	1	0	0
ENSG00000233268	RP11-558F24.2	0	0	0	0	0	0	1	0	0	0
ENSG00000231789	RP11-558F24.4	3	145	165	197	4	184	3	2	9	263
ENSG00000171603	CLSTN1	41956	7956	9932	12069	65481	11879	75130	76480	78552	14646
ENSG00000271264	RP11-558F24.6	0	0	0	1	1	2	2	2	5	1
ENSG00000178585	CTNNBIP1	2084	1353	1455	2006	3335	2040	3820	3935	4211	2570
ENSG00000223989	RP11-84A14.5	0	0	0	0	0	0	0	0	0	0
ENSG00000162441	LZIC	981	1453	1641	2134	1572	2663	1803	2036	1880	3224
ENSG00000228150	RP11-84A14.4	6	33	24	26	14	44	12	5	13	48
ENSG00000173614	NMNAT1	284	654	608	827	566	997	644	655	642	1276
ENSG00000202415	RN7SKP269	3	12	7	20	7	19	8	4	5	34
ENSG00000265521	MIR5697	0	2	0	0	1	2	1	2	0	3
ENSG00000241326	RP11-807G9.2	0	0	0	0	0	0	0	0	0	0
ENSG00000162444	RBP7	154	37	51	63	282	74	294	311	315	92
ENSG00000225786	AL590639.1	0	0	0	0	0	0	2	0	1	0
ENSG00000130939	UBE4B	4048	3881	4824	5829	6330	6479	7172	7472	7549	7620
ENSG00000224340	RP11-496H15.2	2	6	2	1	3	4	2	1	1	9
ENSG00000233623	PGAM1P11	2	16	3	20	1	8	3	2	4	11
ENSG00000201746	RNU6-828P	4	1	2	6	9	7	11	19	7	2
ENSG00000054523	KIF1B	28498	3606	4447	5133	43550	6087	50765	52427	52677	6996
ENSG00000264881	MIR1273D	1	0	1	0	3	2	0	3	1	2
ENSG00000199562	RNU6-37P	4	3	1	1	6	0	7	4	1	2
ENSG00000264501	RN7SL731P	0	0	0	0	0	0	0	0	0	0
ENSG00000265945	RN7SL721P	58	4	3	9	77	11	89	97	93	14
ENSG00000142657	PGD	2701	9588	10132	14287	4661	14440	5293	5253	5510	18604
ENSG00000271989	RP4-736L20.3	0	0	2	3	0	4	0	0	1	3
ENSG00000175279	APITD1	106	244	283	318	159	389	166	184	167	509
ENSG00000251503	APITD1-CORT	0	0	0	0	0	0	0	0	0	0
ENSG00000241563	CORT	86	14	17	21	46	20	70	71	85	48
ENSG00000160049	DFFA	1888	4772	4891	6970	3360	7934	3775	3936	3879	9424
ENSG00000203469	RP5-1113E3.3	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	PEX14	1156	888	1276	1257	1492	962	1761	1651	1636	1473
ENSG00000243267	RN7SL614P	1	3	3	0	3	0	9	4	1	5
ENSG00000130940	CASZ1	84	121	214	179	87	190	110	99	89	206
ENSG00000272078	RP4-734G22.3	24	16	20	28	18	19	22	29	21	21
ENSG00000225158	HSPE1P24	0	0	0	0	0	0	0	0	0	0
